bangla_speech ,banglish_speech ,mymensingh_bangla_speech ,mymensingh_banglish_speech ,region_name ,english_speech
এই ছবির প্রতিটি গান অনেক অনেক প্রিয় ছিল এবং এখনো আছে,ei chobir protiti gan onek onek priyo chilo ebong ekhono ache,এই ছবির প্রত্যেকটা গান অনেক অনেক প্রিয় আসিল আর এহনো আছে,ei chobir prottekta gan onek onek priyo asiloo ar ehono ache,Mymensingh,Every song in this film was and still is very much loved
"সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হেরে যায়","sotter valobasha hare na ,mittha valobasha here jay","সত্যের ভালবাসা হারে না ,মিথ্যা ভালবাসা হাইরা যায়","sotter valobasa hare na ,mittha valobasa haira jay",Mymensingh,"True love does not lose, false love does"
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,ei sei sonali juger sei prachin gan je gan shunle bukta vore jay,এই হেই সোনালী যুগের হেই প্রাচীন গান যেই গান হুনলে বুকটা ভইরা যায়,ei hei sonali juger hei pracin gan jei gan hunle bukta voira jay,Mymensingh,This is the ancient song of the golden age that fills the heart
"যতবার দেখি ততবার ভালো লাগে, মৌসুমিকে গানটাতে অসম্ভব সুন্দর লাগছে","jotobar dekhi totobar valo lage, mousumike gantate osomvob sundor lagche","যতবার দেহি ততবার ভালা লাগে, মৌসুমিরে গানডাতে অসম্ভব সুন্দর লাগতাসে","jotobar dehi totobar vala lage, mousumire gandate osomvob sundor lagtase",Mymensingh,"Every time I see it, I like it, Moushumi looks amazing in the song"
এখনো ভালো লাগে গানটা,ekhono valo lage ganta,এহনো ভালা লাগে গানডা,ehono vala lage ganda,Mymensingh,I still like the song
কালো আর লাল শাড়িতে মৌসুমী আপু কে অসম্ভব সুন্দরী লাগে,kalo ar lal sharite mousumi apu ke osomvob sundori lage,কালা আর লাল শাড়িতে মৌসুমী আপু রে অসম্ভব সুন্দরী লাগে,kala ar lal sharite mousumi apu re osomvob sundori lage,Mymensingh,Moushumi Apu looks incredibly beautiful in black and red saree
মনে পড়ে যায় আমার ভালোবাসার মানুষটার কথা ,mone pore jay amar valobashar manushtar kotha,মনে পইড়া যায় আমার ভালোবাসার মানুষটার কথা,mone poira jay amar valobasar manushtar kotha,Mymensingh,I remember the man I love
গানটা শুনলেই পুরাতন ইতিহাস মনে পড়ে,ganta shunlei puraton itihas mone pore,গানডা হুনলেই পুরান ইতিহাস মনে ফড়ে,ganda hunlei puran itihas mone fore,Mymensingh,Listening to the song reminds me of the old history
এই ছবির  সব গানগুলো অনেক সুন্দর,ei chobir sob gangulo onek sundor,এই ছবির বেগ গানগুলাই মেলা সুন্দর,ei chobir beg gangulai mela sundor,Mymensingh,All the songs of this movie are very beautiful
 সব সময়ে গান গুলো বেশ সুন্দর ভালো লাগে শুনতে ,sob somoye gan gulo besh sundor valo lage shunte,বেগ সময় গান গুলা বেশ সুন্দর ভালা লাগে হুনতে,beg somoy gan gula besh sundor vala lage hunte,Mymensingh,All the time the songs are very nice to listen to
মৌসুমি আপুকে বলছি এরকম  একটা ছবি আমাদেরকে আবার উপরহার দিন,mousumi apuke bolchi erokom ekta chobi amaderke abar uporhar din,মৌসুমি আপুরে কইসি এরকম একটা ছবি আমরারে আবার উপহার দেন।,mousumi apure koisi erokom ekta chobi amrare abar upohar den,Mymensingh,Moushumi Apu please give us a picture like this again
"মৌসুমী আসলেই খুব সুন্দরী, আমি কাছ থেকে দেখেছি","mousumi asolei khub sundori, ami kach theke dekhechi","মৌসুমী সত্যিই মেলা সুন্দরী, আমি কাছ থাইক্কা দেখছি","mousumi sotti mela sundri, ami kach thaikka dekhchi",Mymensingh,"Moushumi is indeed very beautiful, I have seen it up close"
একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে,ekdin hoyto prithibir maya katiye chole jabo porpare,একদিন হয়তো দুনিয়ার মায়া কাটিয়ে চইল্লা যামু পরপারে,ekdin hoyto duniyar maya katiye choilla jamu poropare,Mymensingh,One day maybe I will pass the magic of the world and go to the other side
"চোখ মেললেই দেখি তোমাকে, চোখ বুজলেই পাই আরো কাছে","chokh mellei dekhi tomake, chokh bujlei pai aro kache","চোখ মেললেই দেহি তোমারে, চোখ বুজলেই ফাই আরো কাছে","chokh mellei dehi tomare, cokh bujlei fai aro kache",Mymensingh,"I see you when I close my eyes, I get closer when I close my eyes"
আরও  বেশি ভালবাসা আমি দিতে চাই,aro beshi valobasha ami dite chai,আরও বেশি ভালবাসা আমি দিতাম চাই,aro beshi valobasa ami ditam chai,Mymensingh,I want to give more love
এই  গান আমার এত প্রিয় এখনো শুনি অনেক সুন্দর একটা অনুভুতী কাজ করে,ei gan amar eto priyo ekhono shuni onek sundor ekta onuvuti kaj kore,এই গান আমার এত প্রিয় এহনো হুনি অনেক সুন্দর একটা অনুভুতী কাম করে,ei gan amar eto priyo ehno huni onek sundor ekta onuvuti kam kore,Mymensingh,"This song is so dear to me that I still listen to it, it does a very nice feeling"
"যৌবন আসার আগেই তাকে ভালো বেসেছিলাম, আবার যৌবন শেষ হবার পরেও তাকেই ভালো বাসবো","joubon asar agei take valo besechilam, abar joubon shesh hobar poreo takei valo basbo","যৌবন আওনের আগেই তারে ভালো বাইসা ফালাইছিলাম, আবার যৌবন শেষ হওনের ফরেও তারেই ভালো বাসমু","joubon aowner agei tare valo baisa falaichilam, abar joubon shesh howner foreo tarei valo basmu",Mymensingh,"I loved him before youth came, and I will love him even after youth"
সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা,sat bochor por khuje peyechi amar priyo ganta,সাত বছর বাদে খুইজ্জা পাইসি আমার প্রিয় গানডা,sat bochor bade khuijja paisi amar priyo ganda,Mymensingh,I found my favorite song after seven years
জীবনে  অনেক  গান শুনি তারপরেও  কেন জানি না এই গান গুলোর মত এত ভালো লাগে না,jibone onek gan shuni tarporeo keno jani na ei gan gulor moto eto valo lage na,জীবনে অনেক গান হুনি তারফরেও কিল্লেগা জানি না এই গান গুলার মত এত ভালা লাগে না,jibone onek gan huni tarforeo killega jani na ei gan gular moto eto vala lage na,Mymensingh,I listen to many songs in my life but I don't know why I don't like these songs
"যখন গানটা নতুন বের হয়েছিলো, তখন অনেক শুনেছি","jokhon ganta notun ber hoyechilo, tokhon onek shunechi","যখন গানডা নয়া বাইর হইসিন, তহন অনেক হুনছি","jokhon ganda noya bair hoisilo, tohon onek hunchi",Mymensingh,"When the song first came out, I heard it a lot"
এই গানটা যে কতো বার যে শুনেছি তার কোনো হিসেব নেই,ei ganta je koto bar je shunechi tar kono hiseb nei,এই গানডা যে কতো বার যে হুনছি তার কোনো হিসেব নাই,ei ganda je koto bar je hunchi tar kono hisheb nai,Mymensingh,I can't count how many times I have listened to this song
ছোটবেলার স্মৃতিগুলো মনে পরে যায়,chotobelar sritigulo mone pore jay,ছোটবেলার স্মৃতিগুলো মনে পইরা যায়,chotobelar sritigulo mone poira jay,Mymensingh,Childhood memories come to mind
মাত্র এক বছর পর গানটার বয়স এক যুগ হবে যাবে,matro ek bochor por gantar boyosh ek jug hobe jabe,মাত্র এক বছর পর গানটার বয়স এক যুগ  হয়ে যাবে,matro ek bochor por gantar boyosh ek jug hoye jabe,Mymensingh,"After only one year, the age of the song will be an era"
ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল,vobishote amar chele meye jokhon esob gan dekhbe tar baba kotota romantic chilo,ভবিষ্যতে আমার ছেড়া ছেড়ি যহন এসব গান দেখব তার বাপ কতডা রোমান্টিক আসিল,vobishote amar chera cheri johon esob gan dekhbo tar bap kotoda romantic asiloo,Mymensingh,"When my son and daughter see these songs in the future, how romantic their father was"
এই গানটা কতবার শুনিছি আমি নিজেই জানি না,ei ganta kotobar shunechi ami nijei jani na,এই গানটা কতবার হুনছি আমি নিজেই জানি না,ei ganta kotobar hunchi ami nijei jani na,Mymensingh,I don't know how many times I have heard this song
এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান,evabe chole jabe somoy kintu theke jabe eshob kichu gan,এভাবে চইলা যাইব সময় কিন্তু থাইক্কা যাইব এসব কিসু গান,evabe coila jaibo somoy kintu thaikka jaibo esob kisu gan,Mymensingh,Time will pass like this but these songs will remain
তাদেরকে অনেক ধন্যবাদ যারা গান গুলো উপহার দিয়ে গেছেন,taderke onek dhonnobad jara gan gulo upohar diye gechen,হেগোরে মেলা ধন্যবাদ যারা গান গুলা উপহার দিয়া গেসেন,hegore mela dhonnobad jara gan gula upohar diya gesen,Mymensingh,Many thanks to those who have given the songs
রুমি ভাইয়া আবার ফিরে আসো সবার মাঝে নতুন গান নিয়ে।,rumi vaiya abar fire aso shobar majhe notun gan niye,রুমি ভাই আবার ফিরা আহো সবার মাঝে নয়া গান লইয়া,rumi vai abar fira aho sobar majhe noya gan loiya,Mymensingh,Rumi bhaiya come back again with new song among all.
পুরনো দিনের কথা মনে পড়ে গেল,purono diner kotha mone pore gelo,পুরনা দিনের কথা মনে পইড়া গেল,purana diner kotha mone poira gelo,Mymensingh,I remembered the old days
"হারিয়ে গেছে কতকিছু,  কত আপনজন","hariye geche kotokichu, koto aponjon","হারাইয়া গেছে কতকিসু, কত আপনজন","haraiya geche kotokisu, koto aponjon",Mymensingh,"How many things have been lost, how many people have been lost"
শুধু গানটি যেমন ছিলো তেমনেই রয়ে গেছে,shudhu ganti jemon chilo temnei roye geche,শুধু গানডা যেমন অসিলো তেমনই রইয়া গেসে,shudhu ganda jemon osilo temni roiya gese,Mymensingh,Only the song remains as it was
এই গান গুলো নিয়ে অনেক আবেগ আছে,ei gan gulo niye onek abeg ache,এই গান গুলা নিয়া মেলা আবেগ আসে,ei gan gula niya mela abeg ase,Mymensingh,There is a lot of emotion in these songs
এ গান টা শুনে চোখে পানি চলে আসলো,e gan ta shune chokhe pani chole ashlo,এ গানডা হুইন্না চোহে পানি চইল্লা আইলো,e ganda huinna chohe pani choilla ailo,Mymensingh,Tears came to my eyes after hearing this song
এসব গান ছোটবেলা থেকে শুনে বড় হয়েছি,eshob gan chotobela theke shune boro hoyechi,এইতা গান ছোটবেলা থাইক্কা হুইন্না বড় হইছি,eita gan chotobela thaikka huinna boro hoichi,Mymensingh,I grew up listening to these songs since childhood
এই গানটা শুনে মনে হল আমি বাংলাদেশ থেকে ঘুরে এলাম,ei ganta shune mone holo ami bangladesh theke ghure elam,এই গানটা হুইন্না মনে হইল আমি বাংলাদেশ থাইক্কা ঘুইরা আইলাম,ei ganta huinna mone hoilo ami bangladesh thaikka ghuira ailam,Mymensingh,"After listening to this song, I felt like I came back from Bangladesh"
এই ছবিটা দেখলে বোঝা যায় আমাদের দেশের জন্য কতো কষ্ট করেছে মুক্তিযোদ্ধা ভাইয়েরা,ei chobita dekhle bojha jay amader desher jonno koto koshto koreche muktijoddha vaiyera,এই ছবিডা দেখলে বুঝান যায় আমরার দেশের লাইজ্ঞা কতো কষ্ট করসে মুক্তিযোদ্ধা ভাইয়েরা,ei chobida dekhle bujhan jay amrar desher laigga koto koshto korse muktijoddha vaiyera,Mymensingh,"Seeing this picture, you can understand how much freedom fighter brothers have suffered for our country"
আমরা জীবনে ভুলতে পারব না,amra jibone vulte parbo na,আমরা জীবনে ভুলতে পারতাম না,amra jibone vulte partam na,Mymensingh,We cannot forget in life
যতদিন পৃথিবীর বুকে বাংলাদেশ নামটি থাকবে ততদিন পর্যন্ত এই গানটি চলতে থাকবে,jotodin prithibir buke bangladesh namti thakbe totodin porjonto ei ganti cholte thakbe,যতদিন পৃথিবীর বুকে বাংলাদেশ নামডা থাকব ততদিন পর্যন্ত এই গানডা চলতে থাকব,jotodin prithibir buke bangladesh namda thakbo totodin porjonto ei ganda colte thakbo,Mymensingh,"As long as the name of Bangladesh remains on earth, this song will continue"
 মুক্তিযুদ্ধের ভাইয়েরা আমাদের জন্য কত কষ্ট করেছে ,muktijuddher vaiyera amader jonno koto koshto koreche,মুক্তিযুদ্ধা ভাইয়েরা আমারার লাইজ্ঞা কত কষ্ট করছে,muktijuddha vaiyera amarar laigga koto koshto korche,Mymensingh,How much the brothers of the liberation war have suffered for us
গানটি শুনে আমার অনেক ভালো লেগেছে,ganti shune amar onek valo legeche,গানডা হুইন্না আমার অনেক ভালা লাগসে,ganda huinna amar onek vala lagse,Mymensingh,I really enjoyed listening to the song
গানটা শুনে  চোখে পানি চলে আসলো সত্যি খুব ভালো লাগলো,ganta shune chokhe pani chole ashlo shotti khub valo laglo,গানটা হুইন্না চোক্ষে পানি চইল্লা আইলো সত্যি খুব ভালা লাগসে,ganta huinna cokkhe pani choilla ailo sotti khub vala lagse,Mymensingh,"Tears came to my eyes after listening to the song, it was really good"
ভারতীয় হয়েও যেন কোথাও আমি বাংলাদেশি অনুভব করছি ,varotiyo hoyeo jeno kothao ami bangladeshi onuvob korchi,ভারতীয় হইয়াও যেন কোনোখানে আমি বাংলাদেশি অনুভব করতাসি ,varotiyo hoiyao jeno konokhane ami bangladeshi onuvob kortasi ,Mymensingh,"Even though I am an Indian, I feel like a Bangladeshi somewhere"
আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে,ajker ei dine bangladeshke khub mone pore,আইজকের এই দিনে বাংলাদেশরে মেলা মনে পড়তাসে,aijker ei dine bangladeshre mela mone portase,Mymensingh,I remember Bangladesh very much on this day
সেই ছোটবেলার কথা মনে পড়ে যায় যতবার গানটা শুনি অতীতে ফিরে যাই,shei chotobelar kotha mone pore jay jotobar ganta shuni otite fire jai,হেই ছোডবেলার কথা মনে পইড়া যায় যতবার গানডা হুনি অতীতে ফিইরা যাই,hei chodobelar kotha mone poira jay jotobar ganda huni otite fiira jai,Mymensingh,"Every time I listen to this song, I am reminded of my childhood"
এই ছোট ছেলেটি একটি বল  দিয়ে খেলছে  ,ei choto cheleti ekti ball diye khelche,এই ছোড ছেড়াডা একটা বল দিয়া খেলতাসে,ei chodo cherada ekta bol diya kheltase,Mymensingh,This little boy is playing with a ball
লোকটি ফোনে কথা বলছে,lokti phone e kotha bolche,বেডাডা ফোনে কথা কইতাসে,bedada fone kotha koitase,Mymensingh,The man is talking on the phone
বাইরে বেশ কিছু মানুষ ঘুরে বেড়াচ্ছে,baire besh kichu manush ghure beracche,বাইরে বেশ কিছু মানুষ ঘুইরা বেড়াইতাসে,baire besh kichu manush ghuira beraitase,Mymensingh,Several people are walking around outside
রাতে একদল লোক একসাথে বাইরে বসে থাকে,rate ekdol lok eksathe baire bose thake,রাতে একদল বেডা একলগে বাইরে বয়া থাকে,rate ekdol beda ekloge baire boya thake,Mymensingh,A group of people sit outside together at night
তুমিহীন সময়টা  নিজেদের মতো করে গুছিয়ে নেওয়ার চেষ্টা করছি,tumihin somoyta nijeder moto kore guchiye neoyar cheshta korchi,তুমিহীন সময়ডা নিজেরার মতো কইরা গুছায়া নেওয়ার চেষ্টা করতাসি,tumihin somoyda nijerar moto koira guchaya neoyar cheshta kortasi,Mymensingh,Trying to organize the time without you in our own way
আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি,aj tomar konnake niye sara boi mela ghurechi kintu kono anondo paini,আজ তোমার মাইয়ারে নিয়া সারা বই মেলা ঘুরসি কিন্তু কোনো আনন্দ পায়নাই,aj tomar maiyare niya sara boi mela ghursi.kintu kono anondo paynai,Mymensingh,"Today I went around the book fair with your daughter, but did not get any joy"
তোমার পছন্দের বেশ কয়েকটি  বই কিনেছি,tomar pochonder besh koyekti boi kinechi,তোমার পসন্দের বেশ কয়েকটা বই কিনসি,tomar posonder besh koyekta boi kinsi,Mymensingh,I have bought several books of your choice
সব কিছু কেমন শান্ত আর ফাঁকা লেগেছে,shob kichu kemon shanto ar faka legeche,বেগ কিসু কেমন শান্ত আর ফাঁকা লাগতাসে,beg kisu kemon shanto ar faka lagtase,Mymensingh,Everything seemed so quiet and empty
আমি জানি আমাদের আর কোন দিন এপারে একসাথে বই পড়া হবেনা,ami jani amader ar kono din epare eksathe boi pora hobena,আমি জানি আমরার আর কোন দিন এপারে একলগে বই পড়া হইতনা,ami jani amrar ar kono din epare ekloge boi pora hoitona,Mymensingh,I know we will never read a book together again
তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না,tumi nei ei kothin sottita ami ajo bishsas korte parchi na,তুমি নাই এই কঠিন সত্যিডা আমি আইজও বিশ্বাস করতে পারতাসি না,tumi nai ei kothin sottida ami aijo bishhas korte partasi na,Mymensingh,I still can't believe the hard truth that you are gone
কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে ,keno jani mone hoy bela sheshe tumi ghore firbe ,কেন জানি লাগে বেলা বাদে তুমি ঘরে ফিরবা ,ken jani lage bela bade tumi ghore firba ,Mymensingh,Why do you think you will return home at the end of the day?
আমি এক সন্ধ্যায়  অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো,ami ek sondhay office theke basay fire dekhbo tumi acho sottii tumi acho,আমি এক সন্ধ্যায় অফিস থাইক্কা বাসায় ফিরা দেখবাম তুমি আসো সত্যিই তুমি আসো,ami ek sondhay office thaikka basay fira dekhbam tumi aso sotti e tumi aso,Mymensingh,I'll come home from work one evening and see if you're really there
তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ,tumi tomar konnake niye besto somoy par korcho,তুমি তোমার মাইয়ারে নিয়া ব্যস্ত সময় পার করতাসো,tumi tomar maiyare niya besto somoy par kortaso,Mymensingh,You are busy with your daughter
আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,ami konodin chintao korini amar meye tar mar ador valobasa chara boro hobe basar kajer manusher kache,আমি কোনদিন চিন্তাও করি নাই আমার মাইয়া তার মায়ের আদর ভালোবাসা ছাড়া বড় হইব বাসার কামের মানুষের কাছে,ami konodin chintao kori nai amar maiya tar mayer ador valobasa chara boro hoibo basar kamer manusher kache,Mymensingh,I never thought that my daughter would grow up without her mother's love and care
দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে,dom bondho hoye ase chitkar kore kadte icche kore,দম বন্ধ হইয়া আয় চিৎকার কইরা কাঁনতে ইচ্ছা করে,dom bondho hoia ay citkar koira kante iccha kore,Mymensingh,Suffocated and wants to scream and cry
তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা,tumi jano sottii khub kothin baba hoye mayer dayitto palon kora,তুমি জানো সত্যিই মেলা কঠিন বাপ হইয়া মায়ের দায়িত্ব পালন করা,tumi jano sotti mela kothin bap hoia mayer dayitto palon kora,Mymensingh,You know it's really hard to be a father and fulfill the responsibilities of a mother
সন্তানকে একমাত্র তার মায়ের কোলেই মানায়,sontanke ekmatro tar mayer kolei manay,সন্তানরে খালি হের মায়ের কোলেই মানায়,sontanre khali her mayer kolei manay,Mymensingh,A child fits only in its mother's arms
তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়,tomar konna amar kole ese shudhu tomake khoje mone hoy,তোমার মাইয়া আমার কোলে আয়া খালি তোমারে খুজে মনে হয়,tomar maiya amar kole aya khali tomare khuje mone hoy,Mymensingh,Your daughter seems to come to my arms only looking for you
তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে,tumi chole jaoyar por tomar meye kemon jeno shanto hoye geche,তুমি চইলা যাওয়ার পরে তোমার মাইয়া কেমন যেন শান্ত হইয়া গেসে,tumi coila jaoyar pore tomar maiya kemon jeno shanto hoia gese,Mymensingh,Your daughter seems to have calmed down after you left
এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া,eta hoyto keu bujhte parche na ami chara,এটা মনে হয় কেউ বুঝতে পারতাসেনা আমি ছাড়া,eta mone hoy keu bujhte partasena na ami chara,Mymensingh,Maybe no one understands this but me
আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,ami je baba ami amar konnar mukher dike takiye onek kichu bujhte pari,আমি যে বাবা আমি আমার মাইয়ার মুহের দিকে তাকাইয়া অনেক কিছু বুঝতে পারি,ami je baba ami amar maiyar muher dike takaia onek kichu bujhte pari,Mymensingh,"Being the father that I am, I understand a lot by looking at my daughter's face"
এই রকম  মানুষেরা কখনো ঠিক হয় না,ei rokom manushera kokhono thik hoy na,এই রকম মানুষরা কহনো ঠিক হয় না,ei rokom manushra kohono thik hoy na,Mymensingh,Such people are never right
তাদের দুজনের বিয়ে হওয়ার কথা ছিল,tader duijoner biye howar kotha chilo,তাদের দুইজনের বিয়া হওয়ার কথা আসিল,tader duijoner biya howar kotha asilo,Mymensingh,They were supposed to get married
কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,kintu chele hothat kore torunike na janiye desher baire chole jay,কিন্তু ছেড়া হঠাৎ কইরা ছেড়িরে না জানায়া দেশের বাইরে চইলা যায়,kintu chera hotath koira cherire na janaya desher baire choila jay,Mymensingh,But the boy suddenly left the country without informing the young lady
এর মাঝে মেয়েটি  তার পরিবারের পছন্দে বিয়ে করে,er majhe meyeti tar poribarer pochonde biye kore,এর মধ্যে ছেড়িডা তার পরিবারের পসন্দে বিয়া করে,er moddhe cherida tar poribarer posonde biya kore,Mymensingh,"Meanwhile, the girl gets married according to her family's choice"
সে মেয়েটির  সাথে যোগাযোগ করে,se meyetir sathe jogajog kore,হেয় ছেড়িডার সাথে যোগাযোগ করে,hey cheridar sathe jogajog kore,Mymensingh,He interacts with the girl
মেয়েটি  কাউকে বিয়ে করতে রাজি হয় না,meyeti kauke biye korte raji hoy na,ছেড়িডা কাউরে বিয়া করতে রাজি হয় না,cherida kaure biya korte raji hoy na,Mymensingh,The girl does not agree to marry anyone
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,oi chele kono kichui shunte chay na tar sathe dekha korte cay,ওই ছেড়ার কোন কিছুই হুনতে চায় না হের সাথে দেহা করতে চায়,oi cherar kono kichui hunte chay na her sathe deha korte chay,Mymensingh,The boy doesn't want to hear anything but wants to meet him
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,meye mamla chay na karon se bibahito mamlar bishoyta janajani hole songsar tikbe na,ছেড়ি মামলা চায় না কারণ হেয় বিবাহিত মামলার বিষয়ডা জানাজানি হলে সংসার টিকব না,cheri mamla chay na karon hey bibahito mamlar bishoyda janajani hole songsar tikobo na,Mymensingh,"The girl does not want a case because if the case of her marriage is known, the family will not survive"
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,amar shami bivinno meyer sathe sara rat jege kotha bole,আমার জামাই বিভিন্ন মাইয়ার সাথে সারা রাত জাইজ্ঞা কথা কয়,amar jamai bivinno maiyar sathe sara rat jaijja kotha koy,Mymensingh,My husband stays up all night talking to different girls
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,ekhon kotha holo ami kabiner taka diye dibo proti mashe mashe,এখন কথা হইলো আমি কাবিনের টেহা দিয়া দিমু প্রতি মাসে মাসে,ekhon kotha hoilo ami kabiner teha diya dimu proti mase mase,Mymensingh,Now it is said that I will pay the money for the cabin every month
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,ami sat mash prem kore ekjonke biye korechi,আমি সাত মাস প্রেম কইরা একজনরে বিয়া করসি,ami sat mas prem koira ekjonre biya korsi,Mymensingh,I married a man after seven months of love
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,ekhon biyer por jante pari amar shami age duiti biye korechilo,এহন বিয়ার পর জানতে পারসি আমার জামাই আগে দুইডা বিয়া করসিল,ehon biyar por jante parsi amar jamai age duida biya korsilo,Mymensingh,Now after marriage I came to know that my husband had two marriages before
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,ami manoshik vabe khub somossar moddhe achi,আমি মনসিক ভাবে খুব সমস্যার মধ্যে আসি,ami monosik vabe khub somossar moddhe asi,Mymensingh,I am in a lot of trouble mentally
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,amar ektai kotha chele manusher kache kiser proyojon thakte pare,আমার একটাই কথা ছেলে মানুষের কাসে কিসের প্রয়োজন থাকতে ফারে,amar ektai kotha chele manusher kase kiser proyojon thakte fare,Mymensingh,All I can say is what a boy could need
ক্লাসের সব মেয়েদের সাথেই মিশতাম,class er sob meyeder sathei mishtam,ক্লাসের সব মাইয়াদের সাথেই মিশতাম,class er sob maiyader sathei mishtam,Mymensingh,I got along with all the girls in the class
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,ami dhore nilam amar onek dosh onek vul,আমি ধইরা নিলাম আমার মেলা দোষ মেলা ভুল,ami dhoira nilam amar mela dosh mela vul,Mymensingh,I assumed I was at fault for many mistakes
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,kintu amader tin bochorer bacca tar kothay dosh?,কিন্তু আমাদের তিন বছরের বাচ্চা হের কোনখানে দোষ?,kintu amader tin bochorer bacca her konkhane dosh?,Mymensingh,But where is the fault of our three-year-old child?
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,amra boli ektu somoy neoyar jonno ar unar stri ke niye ashar jonno,আমরা বলি একটু সময় নেওনের লাইজ্ঞা আর উনার বউরে নিয়া আননের লাইজ্ঞা,amra boli ektu somoy neoner laigga ar unar boure niya anner laigga,Mymensingh,We ask to take some time and bring his wife
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,tomake jedin bolechilam biyeta kore felo,তোমারে যেদিন কইসিলাম বিয়াডা কইরা ফালাও,tomare jedin koisilam biyada koira falao,Mymensingh,Do the marriage on the day I told you
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,shedin kothata bolechilam shudhu tomar valor jonno,সেদিন কথাডা কইসিলাম খালি তোমার ভালোর লাইজ্ঞা,sedin kothada koisilam khali tomar valor laigga,Mymensingh,I said that day only for your good
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,kintu tumi ekhon etoi valo acho je ami sheta mante parchi na,কিন্তু তুমি এহন এতোই ভালা আসো যে আমি হেইডা মানতে পারতাসি না,kintu tumi ehon etoi vala aso je ami heida mante partasi na,Mymensingh,But you are so good now that I can't accept it
তুমি আর আমার নেই আমি এটা মানতে পারছি না,tumi ar amar nei ami eta mante parchi na,তুমি আর আমার নাই আমি এইডা মানতে পারতাসি না,tumi ar amar nai ami eida mante partasi na,Mymensingh,I can't accept that you are no longer mine
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,pochondo korei poribarer maddome biye kore eneche,পসন্দ কইরাই পরিবারের মাধ্যমে বিয়া কইরা আনসে,posondo koirai poribarer maddhome biya koira anse,Mymensingh,Married by choice through the family
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,amar valobashar manusher sathe amar biye hoyeche ,আমার ভালবাসার মাইনষের সাথে আমার বিয়া হইসে ,amar valobasar mainsher sathe amar biya hoise ,Mymensingh,I am married to the person I love
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,take chara ami hoyto bachte parbo na ,তারে ছাড়া আমি হয়তো বাচঁতে পারতাম না ,tare chara ami hoyto bachte partam na ,Mymensingh,I may not survive without him
