bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
এর মাঝে মেয়েটি  তার পরিবারের পছন্দে বিয়ে করে,er majhe meyeti tar poribarer pochonde biye kore,ইন অর মাযোদ্দি মাইয়্যা ইবা তার ফরিবারর ফচন্দে বিয়া গরে,in or majoddi maiya iba tar foribaror foconde biya gore,Chittagong,"Meanwhile, the girl gets married according to her family's choice"
সে মেয়েটির  সাথে যোগাযোগ করে,se meyetir sathe jogajog kore,ইতে মাইফোয়াইবার ফোয়ারে যোগাযোগ গরে,ite maifoyaibar foyare jogajog gore,Chittagong,He interacts with the girl
মেয়েটি  কাউকে বিয়ে করতে রাজি হয় না,meyeti kauke biye korte raji hoy na,মাইফোইবা হনিকারে বিয়া গইরতো রাযি ন মই,maifoiba honikare biya goirto raji no moi,Chittagong,The girl does not agree to marry anyone
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,oi chele kono kichui shunte chay na tar sathe dekha korte cay,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,oi foya hono kicu fuinto no chay tar foyare deha goirto chai,Chittagong,The boy doesn't want to hear anything but wants to meet him
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,meye mamla chay na karon se bibahito mamlar bishoyta janajani hole songsar tikbe na,"মাইয়্যা মামলা ন চায় হারন ইবা বিয়াইত্যা ,মামলার বিষয়্যান জানাজানি অইলে সংসার ন টিকিবো","maiya mamla no chay haron iba biyaitta ,mamlar bishoyian janajani oile songsar no tikibo",Chittagong,"The girl does not want a case because if the case of her marriage is known, the family will not survive"
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,amar shami bivinno meyer sathe sara rat jege kotha bole,আঁর জামাই বিবিন্ন মাইফোয়ার ফোয়ারে আরা রাইত জাগি হতা হয়,ar jamai bibinno maifoyar foyare ara rait jagi hota hoy,Chittagong,My husband stays up all night talking to different girls
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,ekhon kotha holo ami kabiner taka diye dibo proti mashe mashe,এহন হতা অইলদি আঁই হাবিনর টিয়া দি দিয়্যুম ফতি মাসে মাসে,ehon hota oilodi ai habinor tiya di diyum foti mase mase,Chittagong,Now it is said that I will pay the money for the cabin every month
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,ami sat mash prem kore ekjonke biye korechi,আঁই সাত মাস ফ্রেম গরি একজনঅরে বিয়া গইরগি,ai sat mas frem gori ekjonore biya goirgi,Chittagong,I married a man after seven months of love
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,ekhon biyer por jante pari amar shami age duiti biye korechilo,আঁই বিয়ার ফর জানিত ফারি আঁর জামাইর আগে দুয়্যা বিয়া গইরগিল,ai biyar for janit fari ar jamair age duyia biya goirgilo,Chittagong,Now after marriage I came to know that my husband had two marriages before
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,ami manoshik vabe khub somossar moddhe achi,আঁই মানুসিক বাবে কুব সমস্যাত আচি,ai manusik babe kub somossat aci,Chittagong,I am in a lot of trouble mentally
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,amar ektai kotha chele manusher kache kiser proyojon thakte pare,আঁর এক্কানই হতা ফোয়াওক্কলর হাচে কি অর ফ্রয়োজন তাকিত ফারে,ar ekkani hota foyaokkolor hace ki or froyojon takit fare,Chittagong,All I can say is what a boy could need
ক্লাসের সব মেয়েদের সাথেই মিশতাম,class er sob meyeder sathei mishtam,ক্লাস অর বেজ্ঞুন মাইফোয়ার লই মিশিতাম,class or beggun maifoyar loi mishitam,Chittagong,I got along with all the girls in the class
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,ami dhore nilam amar onek dosh onek vul,আঁই দরি লইলাম আঁর বউত দুষ বউত বুল,ai dori loilam ar bout dush bout bul,Chittagong,I assumed I was at fault for many mistakes
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,kintu amader tin bochorer bacca tar kothay dosh?,কিন্তু আঁরার তিন বচরর বাইচ্চা ইতার দুষ আন হডে?,kintu arar tin bocoror baicca itar dush an hode?,Chittagong,But where is the fault of our three-year-old child?
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,amra boli ektu somoy neoyar jonno ar unar stri ke niye ashar jonno,আঁরা এক্কা সময় লইতো হয়্যি আর ইবার বউওরে লয় আইত,ara ekka somoy loito hoyie ar ibar bouore loy aito,Chittagong,We ask to take some time and bring his wife
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,tomake jedin bolechilam biyeta kore felo,তোঁয়ারে যেদিন বিয়া গরি ফেলাইতো হইলাম,toyare jedin biya gori felaito hoilam,Chittagong,Do the marriage on the day I told you
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,shedin kothata bolechilam shudhu tomar valor jonno,এদিন হতায়ান হইলাম তোঁয়ার বালার লাই,edin hotayan hoilam toyar balar lai,Chittagong,I said that day only for your good
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,kintu tumi ekhon etoi valo acho je ami sheta mante parchi na,কিন্তু তুঁই এহন এতোই বালা আচো ইয়ান আঁই মানি লইত ন ফারির,kintu tui ehon etoi bala aco iyan ai mani loit no farir,Chittagong,But you are so good now that I can't accept it
তুমি আর আমার নেই আমি এটা মানতে পারছি না,tumi ar amar nei ami eta mante parchi na,তুতুঁই আর আঁর নাই ইয়ান মানি লত ন ফারির,tutui ar ar nai iyan mani lot no farir,Chittagong,I can't accept that you are no longer mine
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,pochondo korei poribarer maddome biye kore eneche,ফচন্দ গরিই ফরবারর মাদ্যমে বিয়া গরি আইন্নে,focondo gori forbaror maddome biya gori ainne,Chittagong,Married by choice through the family
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,amar valobashar manusher sathe amar biye hoyeche ,আঁর বালবাসার মানুষঅর ফোয়ারে আঁর বিয়া অইয়্যে,ar balobasar manushor foyare ar biya oiyie,Chittagong,I am married to the person I love
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,take chara ami hoyto bachte parbo na ,তারে চারা আএ বাচিত ন ফাইরগম ফঁল্লাই,tare chara ae bacit no fairogom follai,Chittagong,I may not survive without him
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,ekhon ar manusher moddhe maya bishoyta khub ekta nei,এহন আর মানুষর মইদ্ধে মায়া হদে জিনিসসান কুব এক্কান নাই,ehon ar manushor moiddhe maya hode jinissan kub ekkan nai,Chittagong,There is not much illusion among people anymore
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,ami amar choto baccake niye babar barite jai,আঁই আঁর গুরা ফোয়াওয়ারে লই বাফর বারিত যাইর,ai ar gura foyaoyare loi bafor barit jair,Chittagong,I went to my father's house with my little child
আপনি নিজের পরিবার নিয়ে বসুন,apni nijer poribar niye boshun,অনে নিযর ফরিবার লই বয়্যুন,one nijor foribar loi boyun,Chittagong,You sit with your family
পরিবারে ছোট খাটো ঝামেলা থাকে,poribare choto khato jhamela thake,ফরিবারত চোড হাডো যামিলা তাকে,foribarot codo hado jamila take,Chittagong,There are small problems in the family
আমাকে একটু সাহায্য  করবেন,amake ektu sahajjo korben,আঁরে এক্কানা সাহায্য গরিবান,are ekkana sahajjo goriban,Chittagong,Please help me
দয়া করে নাম পরিচয় গোপন রাখবেন,doya kore nam porichoy gopon rakhben,দয়া গরি নাম ফরিচয় গোফন রাকিবান,doya gori nam forichoy gofon rakiban,Chittagong,Please remain anonymous
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,ami ekti kothin somossa niye hajir hoyechi,আঁই এক্কান কটিন সমস্যা লই আযির অয়্যি,ai ekkan kotin somossa loi ajir oyie,Chittagong,I am presented with a difficult problem
একসময় ছেলের মেয়েটাকে ভালো লাগবে ,eksomoy cheler meyetake valo lagbe,একসময় ফোয়াইবারতুন মাইফোয়া ইবারে গম লাগিতো,eksomoy foyaibartun maifoya ibare gom lagito,Chittagong,Someday the boy will like the girl
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,tader char bochorer ekti meye bacca ache,তারার চাইর বচরর ওজ্ঞা যের ফোয়া আচে,tarar cair bocoror ogga jer foya ace,Chittagong,They have a four-year-old daughter
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,goto ek mash age strir sathe jhogra kore shami deshe chole ase,গত এম্মাস আগে বউঅর ফোয়ারে হইয্যা গরি জামাই দেশ অত আ গেইয়্যুয়,goto emmas age bouor foyare hoijja gori jamai desh ot aa geiyui,Chittagong,"A month ago, the husband came to the country after quarreling with his wife"
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,chele meye ekjon arekjon ke procondo valobase,ফোয়া মাইয়্যা একজন আরেকজন অরে ফ্রচন্ড বালবাসে,foya maiya ekjon arekjon ore frocondo balobase,Chittagong,Boys and girls love each other very much
সে বিয়ে করে সুখী হতে চায়,se biye kore sukhi hote chay,ইতে বিয়া গরি সুকি অইত চায়,ite biya gori suki oito chay,Chittagong,He wants to get married and be happy
ছেলে ইউরোপে পড়াশোনা করে,chele europe porashona kore,ফোয়াইবা ইঊরোফ ফরাশোনা গইরতো চাই,foyaiba eurofe forashona goirto chai,Chittagong,Son studies in Europe
কিন্তু মেয়ের পরিবার রাজিনা,kintu meyer poribar rajina,কিন্তু মাইয়্যার ফরিবার রাযি নই,kintu maiyar foribar raji noi,Chittagong,But the girl's family does not agree
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,meyeke onno cheler sathe biye deoyar ayojon kore,মাইয়্যারে অইন্য ফোয়ার লই বিয়া দিবর আয়োজন গরে,maiyare oinno foyar loi biya dibor ayoon gore,Chittagong,Arranges for the daughter to be married off to another boy
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়,baddho hoye chele meye nijeder icchay biye kore ney,বাইদ্য অয় ফোয়া মাইয়্যা নিজরার ইচ্চাত বিয়া গরি ফেলাই,baiddo oy foya maiya nijrar icca biya gori felai,Chittagong,Boys and girls are forced to marry of their own accord.
আজকে দেয়ালে পিঠ থেকে গেছে,ajke deyale pith theke geche,আযিয়া দেয়ালত ফিট টেকি গেয়্যুই,ajiya deyalot fit teki geyui,Chittagong,Backs against the wall today
আজকে প্রায় ৮ দিন পানি নেই ,ajke pray ৮ din pani nei ,ফানি নাই আযিয়া ফ্রায় আস্ট দিন,fani nai ajiya fray asto din,Chittagong,Today there is no water for about 8 days
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,othocho ase pasher shob bari tei pani diye dicche shudhu amader baritei pani dicche na,অতচ ফাশর বেজ্ঞিন বারিত ফানি দি ফিলার শুদু আঁরো বারিতই ন ফানি ন দের,otocho fashor beggin barit fani di filar shudu aro baritoi no fani no der,Chittagong,"But they are giving water to all the neighboring houses, not only to our house"
যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না,jader sathe valo somporko royeche shudhu tader pani dibe ar kauke dibe na,যারার লয় বালা মিল আইসসে এতারোরে ফানি দিয়ে দে আর কোন্নারে নো দিবো,jarar loy bala mil aisse etarore funny diye de ar konnare no dibo,Chittagong,Give water only to those with whom you have a good relationship and not to anyone else
জানিনা পানি পাবো নাকি পাবো না,janina pani pabo naki pabo na,হইন্নো ফারি ফানি ফাইয়্যুম নে ন ফাইয়্যুম,hoinno fari fani faiyum ne no faiyum,Chittagong,I don't know whether I will get water or not
পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই,pash kora doctor ra ekhon valo obosthay nei,ফাশ গরা ডাক্তর এহন বালা অবস্তাত নেই,fash gora daktor ehon bala obostat nei,Chittagong,The passed doctors are not in good shape now
কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে,keno eto taka dhar kore doctori porte hobe,এত টিয়া দার গরি ডাক্তরি কিল্লাই ফরা ফইরগে দে,eto tiya dar gori daktari killai fora foirge de,Chittagong,Why should I borrow so much money to study medicine?
যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান,jehetu vorti hoye gechen porashona chaliye jan,যেহেতু বর্তি অই গেয়্যুন গই ফরাশোনা চালাই যন,jehetu borti oi geyun goi forashona calai jon,Chittagong,Continue your studies as you are admitted
স্বামীরে অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না,samir ovijog stri tar songsarer dayitto palon korche na,জামাইর অবিযোগ বউ টিকমতো তার সংসারঅর দায়িত্ত ফালন ন গরের,jamair obijog bou tikmoto tar songsaror dayitto falon no gorer,Chittagong,The husband complains that the wife is not fulfilling her family responsibilities
দুজনেই দুজনকে সন্দেহ করে,duijonei dujonke sondeho kore,দুজনেই দুজনরে সন্দেহ গরে,dujonei dujonre sondeho gore,Chittagong,Both suspect the other
স্ত্রী ধারণা স্বামী পরকীয়ায় আছে,stri dharona sami porokiyay ache,বউঅর দারোনা জামাই ফরকিয়া গরের,bouor darona jamai forokiya gorer,Chittagong,Wife thinks husband is estranged
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না ,ei bishoyta niye ar kotha bolte chacchi na,এই বিষয়্যান লই আর হতা হইতো ন চাইর,ei bishoyan loi ar hota hoito no cair,Chittagong,I don't want to talk about this anymore
আজকাল ছোটরাও পাত্তা দিচ্ছে না,ajkal chotorao patta dicche na,আইযহাল গুরাওক্কলও ফাত্তা ন দের,aijhal guraokkolo fatta no der,Chittagong,Even the little ones don't care these days
কেউ আর ভয় পাচ্ছে না,keu ar voy pacche na,হনিকাই আর ন ডারার,honikai ar no darar,Chittagong,No one is afraid anymore
আমার এসব আর একটুও ভালো লাগছে না,amar eshob ar ektuo valo lagche na,আঁর এগিন এক্কানাও গম ন লাগের,ar egin ekkanao gom no lager,Chittagong,I don't like it at all
যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব,jara vebechilen boro hoye goribder sheba korben kintu boro hoye dekhen nijei gorib,যারা বাইবিল ডঅর মানুষ অই গরিবর সেবা গরিবো কিন্তু ড অর মানুষ অই চাআর ইতারাই গরিব,jara baibil dor manush oi goribor seba goribo kintu do or manush oi cha ar itarai gorib,Chittagong,Those who thought they would grow up to serve the poor but grow up and see themselves as poor
মহিলার বয়স হবে ৮০ এর উপরে,mohilar boyosh hobe ৮০ er upore,মহিলা ইবার বয়স আশি বচরর উওরে অইবো,mohila ibar boyos ashi bocoror uore oibo,Chittagong,The woman will be above 80 years of age
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম","ektai prithibi, kintu ekek elakar manusher chinta ekek rokom",ফিতিবি এক্কান কিন্তু এক এক এলাকার মানুষ অর চিন্তা এক এক ডিল্লা,fitibi ekkan kintu ek ek elakar manush or cinta ek ek dilla,Chittagong,"One world, but the people of different areas have different thoughts"
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,notunra onek kichu shikhte parbe asha kori,নতুনরা বউত কিচু শিকিত ফারিবো আশা গরি,notunra bout kichu shikit faribo asha gori,Chittagong,Hope newbies can learn a lot
হোকনা ভালো কিছুর শুরুটা এভাবেই,hokna valo kichur shuruta evabei,ওকএনা বালা কিচুর শুরু য়ান এনগরি,okena bala kicur shuru yan engori,Chittagong,This is how good things start
তুমি আমার সাথে আর কথা বলবা না,tumi amar sathe ar kotha bolba na,তুঁই আঁর ফোয়ারে আর হিতা ন হইবা,tui ar foyare ar hita no hoiba,Chittagong,You don't talk to me anymore
আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে,amra onek boro hoye gechi mone hocche,আঁরা বউত ড অর অই গেয়্যিগই ফান মনোত অর,ara bout do or oi geyigoi fan monot or,Chittagong,We seem to have grown up a lot
রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে,rajkumarir maya prithibi jayni ajo vule,রাজকুমারির মায়া ফিতিবি আইযো ন বুলে,rajkumarir maya fitibi aijo no bule,Chittagong,The magic of the princess has not been forgotten by the world
জীবন থেকে রঙ হারায় গেছে,jibon theke rong haray geche,যিবনত্তুন রং আযি গেয়্যুই,jibonottun rong aji geyui,Chittagong,Color is lost from life
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,ekta rongin chobi tulte hobe amader sobar,এক্কান কালার চবি তুলা ফরিবো আঁরার বেজ্ঞুনর,ekkan color cobi tula foribo arar beggunor,Chittagong,We all have to take a colorful picture
আর কত ছুটি কাটাবো?,ar koto chuti katabo?,আর হদিন চুটি হাডাইয়্যুম?,ar hodin chuti hadaiyum?,Chittagong,How much more vacation?
পুরোটা দেখার অপেক্ষায় বসে আছি ,purota dekhar opekkhay bose achi ,গুডায়ান দেইবার অফেক্কার লাই বই তাইক্কি,gudayan deibar ofekkar lai boi taikki,Chittagong,I am waiting to see the whole thing
আপনি বেঁচে আছেন?,apni bece achen?,অনে বাচি আচন নে?,one baci acon ne?,Chittagong,Are you alive?
আশেপাশে কেউ থাকলে কল দিয়েন,ashepashe keu thakle call diyen,আশেফাশে হনিকাই তাকিলে কল দিয়ন,ashefashe honikai takile kol diyon,Chittagong,Call if anyone is around
দেখা করা যাবে,dekha kora jabe,দেহা গরা যাইবো,deha gora jaibo,Chittagong,Can meet
কিছু পাইতে হলে কিছু ছাড়তে হবে,kichu paite hole kichu charte hobe,কিচু ফাইতো অইলে কিচু চাইরতো অই,kicu faito oile kicu cairto oi,Chittagong,"To get something, you have to give up something"
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,bangladeshe amake sobai amar dak name cine,বাংলাদেশঅত আঁরে বেজ্ঞুনে আঁর ডাকনামে চিনে,bangladeshot are beggune ar dakname chine,Chittagong,In Bangladesh everyone knows me by my nickname
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,dui ghonta dhore biddut jayni,দুই গন্টা দরি কাআরন ন যায়,dui gonta dori kaaron no jay,Chittagong,There was no electricity for two hours
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,biddut officer lokta ki mara gelo naki?,বিদ্যুত আফিসর মানুষওয়া কি মরি গেইয়্যুই নিকি?,biddut office or manushoya ki mori geiyui niki?,Chittagong,Did the electricity office man die?
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,seibar ami pray ৪ mas pore basay giyechi,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,oimotton ai fray chair mas for basat geyi,Chittagong,That time I went home after about 4 months
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম ,babar mukher dike takiye kemon jani ekta shunnota onuvob korlam ,আব্বুর মুকর ইক্কা চাই কেন যানি হালি হালি লাগের,abbur mukor ikka cai ken jani hali hali lager,Chittagong,"Looking at my father's face, I felt an emptiness"
কবে যে আমার স্বপ্নটা পূরণ হবে,kobe je amar sopnota puron hobe,হত্তে যে আঁর সফ্ন আন ফুরন অইবো,hotte je ar sofno an furon oibo,Chittagong,When will my dream come true?
আপনি কি আপনার হাত ধুতে জানেন?,apni ki apnar hat dhute janen?,অনে কি অনর আত দুইতো জানন নে?,one ki onor at duito janon ne?,Chittagong,Do you know how to wash your hands?
আপনি কি খামারের পশু পছন্দ করেন?,apni ki khamarer poshu pochondo koren?,অনে কি হামারর ফশু ফচন্দ গরন নে?,one ki hamaror foshu focondo goron ne?,Chittagong,Do you like farm animals?
আমি আমার পরিবারের কথা বলতে চাই,ami amar poribarer kotha bolte chai,আঁই আঁর ফরিবারর হতা হইতো চাই,ai ar foribaror hota hoito chai,Chittagong,I want to talk about my family
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন","amar poribare ami ma, baba ebong ekti chotto bon","আঁর ফরিবারে আঁই, মা, বাবা আর ওজ্ঞা গুরা বইন","ar foribare ai, ma, baba ar ogga gura boin",Chittagong,"In my family I have mother, father and a little sister"
আমাদের সবাই একসময়ে একসাথে আছি ,amader sobai eksomoye eksathe achi,আঁরার বেজ্ঞুন একসময় এক্কোফোয়ারে আচি,arar beggun eksomoy ekkofoyare aci,Chittagong,We are all together once
আমরা খুব খুশি,amra khub khushi,আঁরা কুব কুশি,ara kub kushi,Chittagong,We are very happy
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,amader poribare anonder baire kono jhogra nei,আঁরার ফরিবারত আনন্দর বাইরে হনো হইয্যা নাই,arar foribarot anondor baire hono hoijja nai,Chittagong,In our family there is no quarrel but happiness
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,amar bondhura amar jiboner onek guruttopurno ongsho,আঁর বন্দুওক্কল আঁর জিবনর বউত গুরুত্বপূর্ণ অংশ,ar bonduokkol ar jibonor bout guruttopurno ongsho,Chittagong,My friends are very important part of my life
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,ami sobsomoy amar gramer manushder pashe thakte chai,আঁই এগাযা আঁর গেরামর মানুষওক্কলর ফাশে তাইক্তো চাই,ai egaja ar geramor manushokkolor fashe taikto chai,Chittagong,I always want to be with my village people
খুব সুন্দর,khub sundor,বর সুন্দর,bor sundor,Chittagong,Very beautiful
আপনার লেখা অসাধারণ,apnar lekha osadharon,অনর লেহা অসাদারন,onor leha osadaron,Chittagong,Your writing is amazing
আপনার ছবি দেখে খুব ভালো লেগছে,apnar chobi dekhe khub valo lagche,অনর চবি দেকি কুব গম লাইজ্ঞে,onor chobi deki kub gom laigge,Chittagong,Nice to see your picture
অসাধারণ করে লিখেছেন,osadharon kore likhechen,অসাদারন গরি লেইক্কোন,osadaron gori leikkon,Chittagong,Wonderfully written
আমি ভালো লাগলো আপনার কথা পড়ে,amar valo laglo apnar kotha pore,আত্তুন গম লাইজ্ঞে অনর হতা ফরি,attun gom laigge onor hota fori,Chittagong,I enjoyed reading your words
আপনার এই পোস্টটি খুব উপকারী,apnar ei post ti khub upokari,অনর এই ফোস্ট ইয়ান কুব উফকারি,onor ei fosto iyan kub ufokari,Chittagong,Your post is very helpful
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,apnar shundor shundor chobigulo dekhe anondo peyechi,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,onor sundor sundor cobigin deki anondo paiyi,Chittagong,I enjoyed seeing your beautiful pictures
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,apni khub sundorvabe somossati somadhan korechen,অনে কুব সুন্দর গরি সমস্যাগান সমাদান গইরগন,one kub sundor gori somossagan somadan goirgon,Chittagong,You solved the problem very nicely
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,apnar blog ti pore onek kichu shikhte perechi,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,onor blogkan fori bout kicu shikit fairgi,Chittagong,I have learned a lot from reading your blog
আমি আপনার কাজকে  ভালোবাসি,ami apnar kajke valobashi,আঁই অনর হাযরে বালবাসি,ai onor hajre balobasi,Chittagong,I love your work
আপনার লেখার ধরণ খুব সুন্দর,apnar lekhar dhoron khub shundor,অনর লেহার দরন কুব সুন্দর,onor lehar doron kub sundor,Chittagong,Your writing style is very nice
আপনার ছবিটি দেখে মন ভরে গেলো,apnar chobi ti dekhe mon vore gelo,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,onor cobiyan dehi mon bori geyui,Chittagong,My heart was filled with your picture
খুব সুন্দর কথা বলেছেন,khub shundor kotha bolechen,কুব সুন্দর হতা হয়্যুন,kub sundor hota hoyun,Chittagong,He spoke very nicely
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,apnar mojar mojar kotha shunle sara din mon valo thake,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,onor mojar mojar hota funile aradin mon bala take,Chittagong,Listening to your funny jokes makes me feel good all day long
একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল,ekdin shundor ekti bagane ekti meye hatchilo,এদ্দিন সুন্দর এক্কান বাগানত ওজ্ঞা মাইফোয়া আডের,eddin sundor ekkan baganot ogga maifoya ader,Chittagong,One day a girl was walking in a beautiful garden
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,se akashe uronto pakhir gan shontei mon khushi hoye uthto,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,oi assanor uronto feikor gan funilei mon kushi oi jaitoi,Chittagong,He used to feel happy when he heard the song of birds flying in the sky
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,se fulgulor rongin mela dekhe hridoy vore jay,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,oi fullun or rongin mela dehi ridoy bori ja goi,Chittagong,He is heart filled by seeing the colorful fair of flowers
তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে,tar pashe thaka putulgulo sei meyer sathe khelte ase,তাঁর ডাহদ্দি তাকা ফুতুল্লুন অই মাইফোয়ার ফোয়ারে কেলা হাইতো আইয়্যে,tar dahoddi taka futullun oi maifoyar foyare kela haito aiyie,Chittagong,The dolls next to her come to play with the girl
সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত,se aro ekti bondhu banate chay jar nam chilo rahat,ইবা আরও ওজ্ঞা বন্দু বানাইতো চার যার নাম রাহাত,iba aro ogga bondu banaito char jar nam rahat,Chittagong,He wants to make another friend whose name is Rahat
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,tomar bondhura sotti valo hridoyer manush,তোঁয়ারা বন্দুওক্কল সত্যিই বালা মনোর মানুষ,toyara bonduokkol sottie bala monor manush,Chittagong,Your friends are really good hearted people
তোমার বন্ধুরা  সবাই খুব মেধাবী,tomar bondhura shobai khub medhabi,তোঁয়ারা বান্দুবিওক্কল বেজ্ঞুন বর মেদাবি,toyara bandubiokkol beggun bor medabi,Chittagong,All your friends are very talented
তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে,tomar bondhuder kache thakte khub valo lage,তোঁয়ার বন্দুওক্কলর হাচে তাইক্তো কুম বালা লাগে,toyar bonduokkolor hace taikto kum bala lage,Chittagong,I love being around your friends
বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে,biyer por mota hobe emon sopno niye beche ache hajaro patla meye,বিয়ার ফর মোটা অইব এন সফ্ন লই বাচি আচে আযারো লেডা মাইফোয়া,biyar for mota oibo en sofno loi baci ace ajaro leda maifoya,Chittagong,Thousands of thin girls live with the dream of becoming fat after marriage
"মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে, ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই","meyera je hare vodro chele khujche, voy lagche kono din ami kidnap hoye na jai",মাইফোয়াঅক্কল যে হারে বদ্র ফোয়া তুয়ার ডর লাগের হন্দিন আঁরে কিডনাফ গরি লই যা গই,maifoyaokkol je hare bodro foya tuyar dor lager hondin are kidnaf gori loi ja gi,Chittagong,"The rate at which girls are looking for decent boys, I am afraid that I will be kidnapped one day"
