bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
সে মেয়েটির  সাথে যোগাযোগ করে,se meyetir sathe jogajog kore,হে ফুড়ি ইগুর লগে যুগাযুগ খরে,he furi igur loge jugajug khore,Sylhet,He interacts with the girl
মেয়েটি  কাউকে বিয়ে করতে রাজি হয় না,meyeti kauke biye korte raji hoy na,ফুড়ি ইগু খেউরে বিয়া করাত রাজি অয় না,furi igu kheure biya korat raji oy na,Sylhet,The girl does not agree to marry anyone
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,oi chele kono kichui shunte chay na tar sathe dekha korte cay,হউ ফুয়া কুনতা হুনতো চায় না তাইর লগে দেখা করতো চায়,hu fuya kunta hunto chay na tair loge dekha korto cay,Sylhet,The boy doesn't want to hear anything but wants to meet him
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,meye mamla chay na karon se bibahito mamlar bishoyta janajani hole songsar tikbe na,ফুড়ি মামলা চায় না কারণ তাই বিয়াতি মামলার বিষয়টা জানাজানি অইলে সংসার টিকতো নায়,furi mamla cay na karon tai biyati mamlar bishoyta janajani oile songsar tikto nay,Sylhet,"The girl does not want a case because if the case of her marriage is known, the family will not survive"
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,amar shami bivinno meyer sathe sara rat jege kotha bole,মোর জাামাই বাক্কা ফুড়িন্তর লগে হারা রাইত জাগিয়া মাতে,mor jaamai bakka furintor loge hara rait jagiya mate,Sylhet,My husband stays up all night talking to different girls
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,ekhon kotha holo ami kabiner taka diye dibo proti mashe mashe,এখন খতা অইলো মুই কাবিনর টেখা দিলাইমু ফত্তেক মাসে মাসে ,ekhon khota oilo mui kabinor tekha dilaimu fottek mase mase,Sylhet,Now it is said that I will pay the money for the cabin every month
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,ami sat mash prem kore ekjonke biye korechi,মুই সাত মাস পিরিত খরি এখজনরে বিয়া খরছি,mui sat mas pirit khori ekhjonre biya khorchi,Sylhet,I married a man after seven months of love
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,ekhon biyer por jante pari amar shami age duiti biye korechilo, এখন বিয়ার পরে জানতাম ফারছি মোর জামাই আগে দুই বিয়া করছইন,ekhon biyar pore jantam farchi mor jamai age dui biya korchoin,Sylhet,Now after marriage I came to know that my husband had two marriages before
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,ami manoshik vabe khub somossar moddhe achi, মুুই মানসিকভাবে বাক্কা সমস্যার মাঝে আছি,muui manosikvabe bakka somossar majhe achi,Sylhet,I am in a lot of trouble mentally
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,amar ektai kotha chele manusher kache kiser proyojon thakte pare,মোর খতা এখান অউ ফুয়াইন্তর লগে কিওর দরখার থাকতো পারে। ,mor khota ekhan ou fuyaintor loge kiour dorkhar thakto pare.,Sylhet,All I can say is what a boy could need
ক্লাসের সব মেয়েদের সাথেই মিশতাম,class er sob meyeder sathei mishtam,ক্লাসর হখল ফুড়িন্তর লগেউ মিশতাম,classor hokhol furintor logeu mishtam,Sylhet,I got along with all the girls in the class
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,ami dhore nilam amar onek dosh onek vul,মুই ধরিয়া নিলাম মোর বাক্কা দুষ বাক্কা ভুল,mui dhoriya nilam mor bakka dush bakka vul.,Sylhet,I assumed I was at fault for many mistakes
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,kintu amader tin bochorer bacca tar kothay dosh?,কিন্তু আমারার তিন বছর্‌র বাইচ্চা তার দুষ কুন জাগাত?,kintu amarar tin bochor‌or baicca tar dush kun jagat?,Sylhet,But where is the fault of our three-year-old child?
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,amra boli ektu somoy neoyar jonno ar unar stri ke niye ashar jonno,আমরা কইছলাম এখটু সময় লওয়ার লাগি আর তানর বউরে লইয়া আওয়ার লাগি,amra koichlam ekhtu somoy loyar lagi ar tanor boure loiya aoyar lagi,Sylhet,We ask to take some time and bring his wife
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,tomake jedin bolechilam biyeta kore felo,তুমারে যেদিন কইছলাম বিয়াটা খরি লাও,tumare jedin koichlam biyata khori lao,Sylhet,Do the marriage on the day I told you
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,shedin kothata bolechilam shudhu tomar valor jonno,হেদিন খতা খান কইছলাম খালি তুমার ভালার লাগি ,hedin khota khan koichlam khali tumar valar lagi ,Sylhet,I said that day only for your good
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,kintu tumi ekhon etoi valo acho je ami sheta mante parchi na,কিন্তু তুমি এখন অতউ ভালা আছো যেন আমি মানতাম ফারিয়ার না ,kintu tumi ekhon otu vala acho jen ami mantam fariyar na ,Sylhet,But you are so good now that I can't accept it
তুমি আর আমার নেই আমি এটা মানতে পারছি না,tumi ar amar nei ami eta mante parchi na,তুমি আর মোর নাই ইকান মানিয়া নিতাম ফাররাম না,tumi ar mor nai ikan maniya nitam farram na,Sylhet,I can't accept that you are no longer mine
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,pochondo korei poribarer maddome biye kore eneche,পছন্দ খরিয়াও পরিবারর মাইধ্যমে বিয়া খরি আনছে ,pochondo khoriyao poribaror maiddhome biya khori anche ,Sylhet,Married by choice through the family
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,amar valobashar manusher sathe amar biye hoyeche ,মোর ভালাপাওয়া মানুষর লগেউ মোর বিয়া অইছে ,mor valapaoya manushor logeu mor biya oiche ,Sylhet,I am married to the person I love
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,take chara ami hoyto bachte parbo na ,তারে ছাড়া মুই হয়তো বাচতাম ফারতাম নায়,tare chara mui hoyto bachtam fartam nay,Sylhet,I may not survive without him
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,ekhon ar manusher moddhe maya bishoyta khub ekta nei,এখন আর মানুষর মাঝে মায়া জিনিসটা খুব এখটা রইছে না,ekhon ar manushor majhe maya jinista khub ekhta roiche na,Sylhet,There is not much illusion among people anymore
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,ami amar choto baccake niye babar barite jai,মুই মোর ছুটো বাইচ্চাগুরে লইয়া বাফর বাড়িত যাই,mui mor chuto baiccagure loiya bafor barit jai,Sylhet,I went to my father's house with my little child
আপনি নিজের পরিবার নিয়ে বসুন,apni nijer poribar niye boshun,আফনে নিজর পরিবার লইয়া বইন ,afne nijor poribar loiya boin ,Sylhet,You sit with your family
পরিবারে ছোট খাটো ঝামেলা থাকে,poribare choto khato jhamela thake,পরিবারো ছুটো খাটো ঝামেলা থাখে,poribaro chuto khato jhamela thakhe,Sylhet,There are small problems in the family
আমাকে একটু সাহায্য  করবেন,amake ektu sahajjo korben,মোরে এখটু সাহায্য খরইন,more ekhtu sahajjo khoroin,Sylhet,Please help me
দয়া করে নাম পরিচয় গোপন রাখবেন,doya kore nam porichoy gopon rakhben,দয়া খরিয়া নাম পরিচয় গুফন রাখবা ,doya khoriya nam porichoy gufon rakhba ,Sylhet,Please remain anonymous
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,ami ekti kothin somossa niye hajir hoyechi,মুই এখান কঠিন সমস্যা লইয়া হাজির হইছি ,mui ekhan kothin somossa loiya hajir hoichi ,Sylhet,I am presented with a difficult problem
একসময় ছেলের মেয়েটাকে ভালো লাগবে ,eksomoy cheler meyetake valo lagbe,এখসময় ফুয়া অগুর ফুড়ি অগুরে ভালা লাগবো,ekhsomoy fuya ogur furi ogure vala lagbo,Sylhet,Someday the boy will like the girl
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,tader char bochorer ekti meye bacca ache,তারার চাইর বছরর এখটা বাইচ্চা ফুড়ি আছে,tarar cair bochoror ekhta baicca furi ache,Sylhet,They have a four-year-old daughter
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,goto ek mash age strir sathe jhogra kore shami deshe chole ase,গত এখ মাস আগে বউর লগে ঝগড়া লাগিয়া জামাই দেশো আইচ্চে,got ekh mas age bour loge jhogra lagiya jamai desho aicce,Sylhet,"A month ago, the husband came to the country after quarreling with his wife"
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,chele meye ekjon arekjon ke procondo valobase,ফুয়া ফুড়ি এখজন আরোখজনরে খুব ভালা পায়,fuya furi ekhjon arokhojonre khub vala pay,Sylhet,Boys and girls love each other very much
সে বিয়ে করে সুখী হতে চায়,se biye kore sukhi hote chay,হে বিয়া খরি সুখী অইতো চায়,he biya khori sukhi oito chay,Sylhet,He wants to get married and be happy
ছেলে ইউরোপে পড়াশোনা করে,chele europe porashona kore,ফুয়া ইউরোপ পড়ালেখা খরে,fuya europe poralekha khore,Sylhet,Son studies in Europe
কিন্তু মেয়ের পরিবার রাজিনা,kintu meyer poribar rajina,কিন্তু ফুড়ির পরিবার রাজি না,kintu furir poribar raji na,Sylhet,But the girl's family does not agree
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,meyeke onno cheler sathe biye deoyar ayojon kore,ফুড়িরে আরোখ ফুয়ার লগে বিয়া দেওয়ার আয়োজন করছিল,furire arokh fuyar loge biya deoyar ayojon korchilo,Sylhet,Arranges for the daughter to be married off to another boy
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়।,baddho hoye chele meye nijeder icchay biye kore ney,বাধ্য অইয়া ফুয়া ফুড়ি নিজর ইচ্ছাত বিয়া খরি লায় ,baddho oiya fuya furi nijor icchat biya khori lay ,Sylhet,Boys and girls are forced to marry of their own accord.
আজকে দেয়ালে পিঠ থেকে গেছে,ajke deyale pith theke geche,আইজ দেওয়ালো পিঠ ঠেকি গেছে,aij deoyalo pith theki geche,Sylhet,Backs against the wall today
আজকে প্রায় ৮ দিন পানি নেই ,ajke pray ৮ din pani nei , আইজ প্রায় ৮ দিন ধরি পানি নাই,aij pray ৮ din dhori pani nai,Sylhet,Today there is no water for about 8 days
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,othocho ase pasher shob bari tei pani diye dicche shudhu amader baritei pani dicche na,অথচ আশ পাশর হখল বাড়িত পানি দের খালি আমরার বাড়িত দের না,othocho ash pashor hokhol barit pani der khali amrar barit der na,Sylhet,"But they are giving water to all the neighboring houses, not only to our house"
 যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না,jader sathe valo somporko royeche shudhu tader pani dibe ar kauke dibe na,যারার লগে ভালা খাতির খালি তারারে পানি দিবা আর খেউরে দিতা না,jarar loge vala khatir khali tarare pani diba ar kheure dita na,Sylhet,Give water only to those with whom you have a good relationship and not to anyone else
জানিনা পানি পাবো নাকি পাবো না,janina pani pabo naki pabo na,পানি পাইমু কিনা জানিয়ার না,pani paimu kina janiyar na,Sylhet,I don't know whether I will get water or not
পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই,pash kora doctor ra ekhon valo obosthay nei,পাশ খরা ডাখতররা এখন ভালা অবস্থাত নাই,pash khora dakhotorra ekhon vala obosthat nai,Sylhet,The passed doctors are not in good shape now
কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে,keno eto taka dhar kore doctori porte hobe,কিতার লাগি অতো টেখা ধার করাইয়া ডাখতরি পড়তায় অইবো,kitar lagi oto tekha dhar koraiya dakhtori portay oibo,Sylhet,Why should I borrow so much money to study medicine?
যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান,jehetu vorti hoye gechen porashona chaliye jan,ভর্তি অই গেছো যেতুক পড়াশুনা চালাইয়া যাও,vorti oi gecho jetuk porashuna chalaiya jao.,Sylhet,Continue your studies as you are admitted
স্বামীরে অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না,samir ovijog stri tar songsarer dayitto palon korche na,জামাইর অভিযোগ বউ তান সংসারর দায়িত্ব পালন কররা না,jamair ovijog bou tan songsaror dayitto palon korra na,Sylhet,The husband complains that the wife is not fulfilling her family responsibilities
দুজনেই দুজনকে সন্দেহ করে,duijonei dujonke sondeho kore,দুয়োগু দুয়োগুরে সন্দেহ করইন,duyogu duyogure sondeh koroin,Sylhet,Both suspect the other
স্ত্রী ধারণা স্বামী পরকীয়ায় আছে,stri dharona sami porokiyay ache,বউর ধারনা জামাই পরকীয়া কররা,bour dharona jamai porokiya korra,Sylhet,Wife thinks husband is estranged
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না ,ei bishoyta niye ar kotha bolte chacchi na, অউ বিষয়ে আর মাততাম চাইয়ার না,ou bishoye ar mattam chaiyar na,Sylhet,I don't want to talk about this anymore
আজকাল ছোটরাও পাত্তা দিচ্ছে না,ajkal chotorao patta dicche na,আইজকাইল হুরু ইতায়ও পাত্তা দিরা না,aijkail huru itayo patta dira na,Sylhet,Even the little ones don't care these days
কেউ আর ভয় পাচ্ছে না,keu ar voy pacche na,খেউ আর ডরাইরা না,kheu ar doraira na,Sylhet,No one is afraid anymore
আমার এসব আর একটুও ভালো লাগছে না,amar eshob ar ektuo valo lagche na,মোর ইতা আর থুরাও ভালা লাগের না,mor ita ar thurao vala lager na,Sylhet,I don't like it at all
যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব,jara vebechilen boro hoye goribder sheba korben kintu boro hoye dekhen nijei gorib,যেরা ভাবছিলা বড় অইয়া গরীবর সেবা করতা কিন্তুক বড় অইয়া দেখরা নিজেউ গরীব,jera vabchila boro oiya goribor seba korta kintuk boro oiya dekhra nijeu gorib,Sylhet,Those who thought they would grow up to serve the poor but grow up and see themselves as poor
মহিলার বয়স হবে ৮০ এর উপরে,mohilar boyosh hobe ৮০ er upore, বেটির বয়স অইবো আশির উফরে,betir boyos oibo ashir ufre,Sylhet,The woman will be above 80 years of age
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম","ektai prithibi, kintu ekek elakar manusher chinta ekek rokom",এখটাউ দুনিয়া কিন্তু এখত জাগার মানুষর চিন্তা এখত লাখান,ekhtau duniya kintu ekhot jagar manushor chinta ekhot lakhan,Sylhet,"One world, but the people of different areas have different thoughts"
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,notunra onek kichu shikhte parbe asha kori, নয়া এরা বহুততা হিকতা পারবা আশা খরি,noya era bohutta hikta parba asha khori,Sylhet,Hope newbies can learn a lot
হোকনা ভালো কিছুর শুরুটা এভাবেই,hokna valo kichur shuruta evabei, অউক না ভালা কুন্তার শুরু অলাউ,ouk na vala kuntar shuru olau,Sylhet,This is how good things start
তুমি আমার সাথে আর কথা বলবা না,tumi amar sathe ar kotha bolba na,তুমি মোর লগে আর মাতবায় না,tumi mor loge ar matbay na,Sylhet,You don't talk to me anymore
আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে,amra onek boro hoye gechi mone hocche,আমরা বাক্কা বড় অই গেছি মনে অর,amra bakka boro oi gechi mone or,Sylhet,We seem to have grown up a lot
রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে,rajkumarir maya prithibi jayni ajo vule,রাজকুমারির মায়া দুনিয়া আইজো ভুলছে না,rajkumarir maya duniya aijo vulche na,Sylhet,The magic of the princess has not been forgotten by the world
জীবন থেকে রঙ হারায় গেছে,jibon theke rong haray geche,জীবনে থাকি রঙ হারাই গেছে গিয়া,jibone thaki rong harai geche giya,Sylhet,Color is lost from life
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,ekta rongin chobi tulte hobe amader sobar,এখটা রঙিন ছবি তুলা লাগবো আমরা হখলর,ekhta rongin chobi tula lagbo amra hokholor,Sylhet,We all have to take a colorful picture
আর কত ছুটি কাটাবো?,ar koto chuti katabo?, আর খত ছুটি কাটাইতাম,ar khoto chuti kataitam,Sylhet,How much more vacation?
পুরোটা দেখার অপেক্ষায় বসে আছি ,purota dekhar opekkhay bose achi , ফুরাটা দেখার অপেক্ষাত বই রইছি,furata dekhar opekkhat boi richi,Sylhet,I am waiting to see the whole thing
আপনি বেঁচে আছেন?,apni bece achen?,   আফনে বাঁচিয়া আছইন নি?,afne baciya achoin ni?,Sylhet,Are you alive?
আশেপাশে কেউ থাকলে কল দিয়েন,ashepashe keu thakle call diyen, আশেপাশে খেউ থাখলে কল দেইন যেন,ashepashe kheu thakhle call dein jen,Sylhet,Call if anyone is around
দেখা করা যাবে,dekha kora jabe, দেখা খরা যাইবো ,dekha khora jaibo ,Sylhet,Can meet
কিছু পাইতে হলে কিছু ছাড়তে হবে,kichu paite hole kichu charte hobe,কুনতা পাইতে অইলে  কুনতা ছাড়া লাগবো,kunta paite oile  kunta chara lagbo,Sylhet,"To get something, you have to give up something"
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,bangladeshe amake sobai amar dak name cine,বাংলাদেশো মোরে সবে মোর ডাখ নামে চিনইন,bangladesho more sobe mor dakh name cinin,Sylhet,In Bangladesh everyone knows me by my nickname
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,dui ghonta dhore biddut jayni,  দুই ঘন্টা ধরি বিদ্যুৎ যার না,dui ghonta dhori biddut jar na,Sylhet,There was no electricity for two hours
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,biddut officer lokta ki mara gelo naki?,কারেন্টর অফিসর বেটা মরি গেলো নাকিতা?,currentor officor beta mori gelo nakita?,Sylhet,Did the electricity office man die?
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,seibar ami pray ৪ mas pore basay giyechi,হবার মুই বাক্কা ৪ মাস বাদে বাসাত গেছি,hobar mui bakka ৪ mas bade basat gechi,Sylhet,That time I went home after about 4 months
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম ,babar mukher dike takiye kemon jani ekta shunnota onuvob korlam , আব্বার মুখর দিকে চাইয়া কিলান এখটা শূন্যতা অনুভব খরলাম,abbar mukhor dike caiya kilan ekhta shunnota onuvob khorlam,Sylhet,"Looking at my father's face, I felt an emptiness"
কবে যে আমার স্বপ্নটা পূরণ হবে,kobe je amar sopnota puron hobe,কুনদিন যে আমার স্বপ্নটা পুরণ অইতো,kundin je amar shopnota puron oito,Sylhet,When will my dream come true?
আপনি কি আপনার হাত ধুতে জানেন?,apni ki apnar hat dhute janen?, আফনে কিতা আফনার হাত ধুয়া চিনইন নি?,afne kita afnar hat dhuya chinin ni?,Sylhet,Do you know how to wash your hands?
আপনি কি খামারের পশু পছন্দ করেন?,apni ki khamarer poshu pochondo koren?,আফনে  কিতা খামারর পশু পছন্দ করইন নি?,afne  kita khamaror poshu pochondo korin ni?,Sylhet,Do you like farm animals?
আমি আমার পরিবারের কথা বলতে চাই,ami amar poribarer kotha bolte chai, মুই মোর পরিবারর খতা কইতাম চাই,mui mor poribaror khota koitam chai,Sylhet,I want to talk about my family
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন","amar poribare ami ma, baba ebong ekti chotto bon","মোর পরিবারো মুই আম্মা, আব্বা আর এক হুরু বইন ","mor poribaro mui amma, abba ar ek huru boin ",Sylhet,"In my family I have mother, father and a little sister"
আমাদের সবাই একসময়ে একসাথে আছি ,amader sobai eksomoye eksathe achi,আমরার হখল এখ সময়ে একলগে আছি,amrar hokhol ekh somoye ekloge achi,Sylhet,We are all together once
আমরা খুব খুশি,amra khub khushi,আমরা  খুব খুশি,amra  khub khushi,Sylhet,We are very happy
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,amader poribare anonder baire kono jhogra nei, আমরার পরিবারো আনন্দর বাইরে কুনো লাগালাগি নাই,amrar poribaro anondor baire kuno lagalagi nai,Sylhet,In our family there is no quarrel but happiness
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,amar bondhura amar jiboner onek guruttopurno ongsho,মোর বন্ধুরা মোর জীবনর খুব গুরুত্বপুর্ণ অংশ,mor bondhura mor jibonor khub guruttopurno ongsho,Sylhet,My friends are very important part of my life
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,ami sobsomoy amar gramer manushder pashe thakte chai, মুই হখল সময় মোর গাউর মানুষর পাশে থাকতাম চাই,mui hokhol somoy mor gaur manushor pashe thaktam chai,Sylhet,I always want to be with my village people
খুব সুন্দর,khub sundor,  খুব সুন্দর ,khub sundor ,Sylhet,Very beautiful
আপনার লেখা অসাধারণ,apnar lekha osadharon,আফনার লেখা অসাধারণ,afnar lekha osadharon,Sylhet,Your writing is amazing
আপনার ছবি দেখে খুব ভালো লেগছে,apnar chobi dekhe khub valo lagche,আফনার ছবু দেকিয়া খুব ভালা লাগছে,afnar chobu dekiya khub vala lagche,Sylhet,Nice to see your picture
অসাধারণ করে লিখেছেন,osadharon kore likhechen,অসাধারণ খরি লেখছইন,osadharon khori lekhchin,Sylhet,Wonderfully written
আমি ভালো লাগলো আপনার কথা পড়ে,amar valo laglo apnar kotha pore,মোর  ভালা লাগছে আফনার খতা পড়িয়া,mor  vala lagche afnar khota poriya,Sylhet,I enjoyed reading your words
আপনার এই পোস্টটি খুব উপকারী,apnar ei post ti khub upokari,আফনার অউ পোস্টটা খুবই উফকারী,afnar ou postta khubi ufkari,Sylhet,Your post is very helpful
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,apnar shundor shundor chobigulo dekhe anondo peyechi, আফনার সুন্দর সুন্দর ছবিগুইন দেখিয়া মজা পাইছি,afnar shundor shundor chobiguin dekhiya moja paichi,Sylhet,I enjoyed seeing your beautiful pictures
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,apni khub sundorvabe somossati somadhan korechen,আফনে খুব সুন্দর খরি সমস্যাটার সমাধান করছইন,afne khub sundor khori somosshatar somadhan korchin,Sylhet,You solved the problem very nicely
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,apnar blog ti pore onek kichu shikhte perechi,আফনার  ব্লগটা পড়িয়া বাক্কা জিনিস শিখতাম ফারছি,afnar  blogta poriya bakka jinish shikhtam farchi,Sylhet,I have learned a lot from reading your blog
আমি আপনার কাজকে  ভালোবাসি,ami apnar kajke valobashi,মুই আফনার কাজরে ভালাপাই,mui afnar kajre valapai,Sylhet,I love your work
আপনার লেখার ধরণ খুব সুন্দর,apnar lekhar dhoron khub shundor, আফনার লেখার ধরন খুবই সুন্দর,afnar lekhar dhoron khubi sundor,Sylhet,Your writing style is very nice
আপনার ছবিটি দেখে মন ভরে গেলো,apnar chobi ti dekhe mon vore gelo, আফনার ছবিটা দেখিয়া মন ভরি গেছে,afnar chobita dekhiya mon vori geche,Sylhet,My heart was filled with your picture
খুব সুন্দর কথা বলেছেন,khub shundor kotha bolechen,বাক্কা সুন্দর মাত মাতলা,bakka sundor mat matla,Sylhet,He spoke very nicely
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,apnar mojar mojar kotha shunle sara din mon valo thake,আফনার মজার মজার মাত হুনলে হারাদিন মন ভালা থাকে,afnar mojar mojar mat hunle haradin mon vala thake,Sylhet,Listening to your funny jokes makes me feel good all day long
একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল,ekdin shundor ekti bagane ekti meye hatchilo,এখদিন সুন্দর এখটা বাগানো এখটা ফুড়ি হাটের,ekhdin shundor ekhta bagano ekhta furi hater,Sylhet,One day a girl was walking in a beautiful garden
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,se akashe uronto pakhir gan shontei mon khushi hoye uthto,হউ আখাশর উড়া পাখির হান হুনলেউ মন খুশ অই যাইতো,hu akhashor ura pakhir han hunleu mon khush oi jaito,Sylhet,He used to feel happy when he heard the song of birds flying in the sky
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,se fulgulor rongin mela dekhe hridoy vore jay,হউ ফুুল অতার রঙিন মেলা দেখিয়া হারলে মন ভরি যায় ,hu ful otar rongin mela dekhiya harle mon vori jay ,Sylhet,He is heart filled by seeing the colorful fair of flowers
তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে,tar pashe thaka putulgulo sei meyer sathe khelte ase,তার লগে থাকা পুতুলগুইন হউ পুরির লগে খেলাত আয়,tar loge thaka putulguin hu purir loge khelat ay,Sylhet,The dolls next to her come to play with the girl
সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত,se aro ekti bondhu banate chay jar nam chilo rahat,তাই আরো এখটা বন্ধু বানাইতো চায় যেগুর নাম আছিল রাহাত,tai aro ekhta bondhu banaito chay jegur nam achilo rahat,Sylhet,He wants to make another friend whose name is Rahat
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,tomar bondhura sotti valo hridoyer manush, তুমার বন্ধুরা হাছাউ ভালা মনর মানুষ,tumar bondhura hachau vala monor manush,Sylhet,Your friends are really good hearted people
তোমার বন্ধুরা  সবাই খুব মেধাবী,tomar bondhura shobai khub medhabi,তুমার বন্ধুরা হখল অউ খুব মেধাবী,tumar bondhura hokhol ou khub medhabi,Sylhet,All your friends are very talented
তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে,tomar bondhuder kache thakte khub valo lage,তুমার বন্ধু্রার কান্দাত থাকতে খুব ভালা লাগে,tumar bondhurar kandat thakte khub vala lage,Sylhet,I love being around your friends
বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে,biyer por mota hobe emon sopno niye beche ache hajaro patla meye,হেঙ্গার বাদে মুটা অইবা অলা সফনো লইয়া বাঁচিয়া আছইন হাজার হাজার রাগ ফুড়িন,henggar bade muta oiba ola sofno loiya bachiya achin hajar hajar rag furin,Sylhet,Thousands of thin girls live with the dream of becoming fat after marriage
"মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে, ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই","meyera je hare vodro chele khujche, voy lagche kono din ami kidnap hoye na jai","ফুড়িন্তে যে হারে ভদ্র ফুয়াইন খুজরা , ডর লাগের মুই নি কুন দিন কীডনাপ অই যাই","furinte je hare vodro fuyain khujra , dor lager mui ni kun din kidnap oi jai",Sylhet,"The rate at which girls are looking for decent boys, I am afraid that I will be kidnapped one day"
"খন তোমার একা লাগবে, তুমি চারদিকে কিছুই দেখতে পাবে না","ekhon tomar eka lagbe, tumi chardike kichui dekhte pabe na",যেব্‌লা তুমার একলা লাগবো তুমি চাইরিদকে কিচ্চু দেখতায় নায়,jeb‌la tumar ekla lagbo tumi chairidoke kicchu dekhtay nay,Sylhet,"When you are alone, you will not see anything around you"
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,aj single bole karo jonno hat katte pari na, আইজ সিংগেল দেকিয়া কারো লাগি হাত কাটতাম ফারি না,aij single dekiya karo lagi hat kattam fari na,Sylhet,Today I can't cut my hand for someone who is single
