bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,oi chele kono kichui shunte chay na tar sathe dekha korte cay,ওই পোলা কোনো কিছুই হোনতে চায়না হ্যার লগে দেহা করতে চায়,oi pola kono kichui honte chayna her loge deha korte chay,Barishal ,The boy doesn't want to hear anything but wants to meet him
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,meye mamla chay na karon se bibahito mamlar bishoyta janajani hole songsar tikbe na,মাইয়াডা মামলা চায়না কারণ হ্যায় বিয়াইত্তা মামলার বিষয়ডা জানলে সংসার টেকবে না,maiyada mamla chayna karon hyai biyaitta mamlar bishoyda janle songsar tekbe na,Barishal ,"The girl does not want a case because if the case of her marriage is known, the family will not survive"
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,amar shami bivinno meyer sathe sara rat jege kotha bole,মোর জামাই ভিন্ন ভিন্ন মাইয়ার লগে হারা রাইত জাইগা কথা কয়,mor jamai vinno vinno maiyar loge hara rait jaiga kotha koy,Barishal ,My husband stays up all night talking to different girls
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,ekhon kotha holo ami kabiner taka diye dibo proti mashe mashe,এহন কথা হইলো মুই কাবিনের টাহা দিয়া দিমু পেরতেক মাসে মাসে,ehon kotha hoilo mui kabiner taha diya dimu pertek mashe mashe,Barishal ,Now it is said that I will pay the money for the cabin every month
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,ami sat mash prem kore ekjonke biye korechi,মুই সাত মাস পেরেম কইরা একজনরে বিয়া করছি,mui saat mash perem koira ekjonre biya korchi,Barishal ,I married a man after seven months of love
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,ekhon biyer por jante pari amar shami age duiti biye korechilo,এহন বিয়ার পর জানতে পারি মোর জামাই আগে দুজ্ঞা বিয়া করছেলে,ehon biyar por jante pari mor jamai age dugga biya korchele,Barishal ,Now after marriage I came to know that my husband had two marriages before
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,ami manoshik vabe khub somossar moddhe achi,মুই মনের দিক দিয়া বেমালা সমেস্যার মইধ্যে আছি,mui moner dik diya bemala somessar moiddhe achi,Barishal ,I am in a lot of trouble mentally
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,amar ektai kotha chele manusher kache kiser proyojon thakte pare,মোর এউক্কাই কথা পোলা মানুর ধারে কির দরকার থাকতে পারে,mor eukkai kotha pola manur dhare kir dorkar thakte pare,Barishal ,All I can say is what a boy could need
ক্লাসের সব মেয়েদের সাথেই মিশতাম,class er sob meyeder sathei mishtam,কেলাসের বেবাক মাইয়াগো লগেই মিশতাম,class er bebak maiyago logei mishtam,Barishal ,I got along with all the girls in the class
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,ami dhore nilam amar onek dosh onek vul,মুই ধইরা নেলাম মোর ম্যালা দোষ ম্যালা ভুল,mui dhoira nelam mor mela dosh mela vul,Barishal ,I assumed I was at fault for many mistakes
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,kintu amader tin bochorer bacca tar kothay dosh?,তয় মোগো তিন বছরের গেদু হ্যার কোম্মে দোষ?,toy mogo tin bochorer gedu her komme dosh?,Barishal ,But where is the fault of our three-year-old child?
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,amra boli ektu somoy neoyar jonno ar unar stri ke niye ashar jonno,মোরা কই এট্টু সময় নেওয়ার লইজ্ঞা আর হ্যার বউরে লইয়া আওয়ার লইজ্ঞা,mora ki ettu somoy neowar loigga ar her bure loiya aoyar loigga,Barishal ,We ask to take some time and bring his wife
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,tomake jedin bolechilam biyeta kore felo,তোমারে যেদিন কইছিলাম বিয়াডা কইরা হালাও,tomare jedin koichilam biyada koira halao,Barishal ,Do the marriage on the day I told you
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,shedin kothata bolechilam shudhu tomar valor jonno,হেদিন কথাডা কইছিলাম খালি তোমার ভালোর লইজ্ঞা,hedin kothada koichilam khali tomar valor loigga,Barishal ,I said that day only for your good
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,kintu tumi ekhon etoi valo acho je ami sheta mante parchi na,তয় তুমি এহন এতই ভালো আছো যে মুই হেইডা মানতে পারতেয়াছি না,toy tumi ehon etoi valo acho je mui heida mante parteyachi na,Barishal ,But you are so good now that I can't accept it
তুমি আর আমার নেই আমি এটা মানতে পারছি না,tumi ar amar nei ami eta mante parchi na,তুমি আর মোর নাই মুই এইডা মানতেই পারতেয়াছি না,tumi ar mor nai mui eida mantei parteyachi na,Barishal ,I can't accept that you are no longer mine
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,pochondo korei poribarer maddome biye kore eneche,পছন্দ কইরাই পরিবারের মাইধ্যমে বিয়া কইররা আনছে,pochondo koirai poribarer maiddhome biya koirra anche,Barishal ,Married by choice through the family
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,amar valobashar manusher sathe amar biye hoyeche ,মোর ভালোবাসার মানুর লগে মোর বিয়া হইছে,mor valobashar manur loge mor biya hoiche,Barishal ,I am married to the person I love
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,take chara ami hoyto bachte parbo na ,হ্যারে ছাড়া মুই মনে হয় বাঁচতে পারমু না,here chara mui mone hoy bachte parmu na,Barishal ,I may not survive without him
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,ekhon ar manusher moddhe maya bishoyta khub ekta nei,এহন আর মানের মইধ্যে মায়া ব্যাপারডা হেইরহম নাই,ehon ar maner moiddhe maya beparda heirohom nai,Barishal ,There is not much illusion among people anymore
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,ami amar choto baccake niye babar barite jai,মুই মোর ছোডো গেদুডারে লইয়া বাপের বাড়ি যাই,mui mor chodo gedudare loiya baper bari jai,Barishal ,I went to my father's house with my little child
আপনি নিজের পরিবার নিয়ে বসুন,apni nijer poribar niye boshun,আমনে নিজের পরিবার লইয়া বহেন,amne nijer poribar loiya bohen,Barishal ,You sit with your family
পরিবারে ছোট খাটো ঝামেলা থাকে,poribare choto khato jhamela thake,পরিবারে ছোডো খাডো কাইজ্জা থাহে,poribare chodo khado kaijja thahe,Barishal ,There are small problems in the family
আমাকে একটু সাহায্য  করবেন,amake ektu sahajjo korben,মোরে এউক্কা সাহাইয্য করবেন,more eukka sahaijjo korben,Barishal ,Please help me
দয়া করে নাম পরিচয় গোপন রাখবেন,doya kore nam porichoy gopon rakhben,দয়া কইরা নাম পরিচয় গোপন রাখবেন,doya koira nam porichoy gopon rakhben,Barishal ,Please remain anonymous
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,ami ekti kothin somossa niye hajir hoyechi,মুই এউক্কা কঠিন সমস্যা লইয়া হাজির হইছি,mui eukka kothin somossha loiya hajir hoichi,Barishal ,I am presented with a difficult problem
একসময় ছেলের মেয়েটাকে ভালো লাগবে ,eksomoy cheler meyetake valo lagbe,এককালে পোলার মাইয়াডারে ভালো লাগবে,ekkale polar maiyadare valo lagbe,Barishal ,Someday the boy will like the girl
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,tader char bochorer ekti meye bacca ache,হ্যাগো চাইর বচ্ছরের এউক্কা মাইয়া গেদু আছে,hego chair bocchorer eukka maiya gedu ache.,Barishal ,They have a four-year-old daughter
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,goto ek mash age strir sathe jhogra kore shami deshe chole ase,গ্যাছে এক মাস আগে বউর লগে কাইজ্জা কইরা জামাই দেশে চইল্যা আহে,gyache ek mash age bur loge kaijja koira jamai deshe choila ahe,Barishal ,"A month ago, the husband came to the country after quarreling with his wife"
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,chele meye ekjon arekjon ke procondo valobase,পোলা মাইয়া একজন আরেকজনরে বেমালা ভালোবাসে,pola maiya ekjon arekjonre bemala valobashe,Barishal ,Boys and girls love each other very much
সে বিয়ে করে সুখী হতে চায়,se biye kore sukhi hote chay,হ্যায় বিয়া কইরা সুখী হইতে চায়,hyai biya koira shukhi hoite chay,Barishal ,He wants to get married and be happy
ছেলে ইউরোপে পড়াশোনা করে,chele europe porashona kore,পোলা ইউরোপে পড়াল্যাহা করে,pola europe e poraleha kore,Barishal ,Son studies in Europe
কিন্তু মেয়ের পরিবার রাজিনা,kintu meyer poribar rajina,তয় মাইয়ার পরিবার রাজি না,toy maiyar poribar raji na,Barishal ,But the girl's family does not agree
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,meyeke onno cheler sathe biye deoyar ayojon kore,মাইয়ারে অন্য পোলার লগে বিয়া দেওয়ার আয়োজন করে,maiyare onno polar loge biya deowar ayojon kore,Barishal ,Arranges for the daughter to be married off to another boy
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়।,baddho hoye chele meye nijeder icchay biye kore ney,বাধ্য হইয়া পোলা মাইয়া নিজেগো ইচ্ছায় বিয়া কইরা লয়,baddho hoiya pola maiya nijego icchay biya koira loy,Barishal ,Boys and girls are forced to marry of their own accord.
আজকে দেয়ালে পিঠ থেকে গেছে,ajke deyale pith theke geche,আইজগো দেয়ালে পিঠ ঠ্যাকছে,aijgo deyale pith thekche,Barishal ,Backs against the wall today
আজকে প্রায় ৮ দিন পানি নেই ,ajke pray ৮ din pani nei ,আইজ পেরায় ৮ দিন পানি নাই,aij peray 8 din pani nai,Barishal ,Today there is no water for about 8 days
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,othocho ase pasher shob bari tei pani diye dicche shudhu amader baritei pani dicche na,তয় আসে পাশের বেবাক বাড়িতেই পানি দিয়া দেতেয়াছে খালি মোগো বাড়িতেই পানি দেতেয়াছে না,toy ase pasher bebak baritei pani diya deteyache khali mogo baritei pani deteyache na,Barishal ,"But they are giving water to all the neighboring houses, not only to our house"
 যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না,jader sathe valo somporko royeche shudhu tader pani dibe ar kauke dibe na,যাগো লগে ভালো সম্পর্ক আছে খালি হ্যাগো পানি দেবে আর কাউরে দেবে না,jago loge valo somporko ache khali hego pani debe ar kaure debe na,Barishal ,Give water only to those with whom you have a good relationship and not to anyone else
জানিনা পানি পাবো নাকি পাবো না,janina pani pabo naki pabo na,জানিনা পানি পামু কি পামু না,janina pani pamu ki pamu na,Barishal ,I don't know whether I will get water or not
পাশ করা ডাক্তাররা এখন ভালো অবস্থায় নেই,pash kora doctor ra ekhon valo obosthay nei,পাশ করা ডাক্তাররা এহন ভালো অবস্থায় নাই,pash kora doctor ra ehon valo obosthay nai,Barishal ,The passed doctors are not in good shape now
কেন এত টাকা ধার করে ডাক্তারি পড়তে হবে,keno eto taka dhar kore doctori porte hobe,কির লইজ্ঞা এতো টাহা ধার কইরা ডাক্তারি পড়তে হইবে,kir loigga eto taha dhar koira doctori porte hoibe,Barishal ,Why should I borrow so much money to study medicine?
যেহেতু ভর্তি হয়ে গেছেন পড়াশোনা চালিয়ে যান,jehetu vorti hoye gechen porashona chaliye jan,যেহেতু ভর্তি হইয়া গ্যাছেন পড়াল্যাহা চালাইয়া যান,jehetu vorti hoiya gyachen poraleha chalaiya jan,Barishal ,Continue your studies as you are admitted
স্বামীরে অভিযোগ স্ত্রী তার সংসারের দায়িত্ব পালন করছে না,samir ovijog stri tar songsarer dayitto palon korche na,জামাইর বিচার বউ হ্যার সংসারের দায়িত্ব ঠিকমতো পালন করতেয়াছে না।,jamair bichar bou her songsarer dayitto thikmoto palon korteyache na,Barishal ,The husband complains that the wife is not fulfilling her family responsibilities
দুজনেই দুজনকে সন্দেহ করে,duijonei dujonke sondeho kore,দুইজনই দুইজনরে সন্দেহ করে,duijoni duijonre sondeho kore,Barishal ,Both suspect the other
স্ত্রী ধারণা স্বামী পরকীয়ায় আছে,stri dharona sami porokiyay ache,বউর মনে হয় জামাই পরকীয়ায় আছে,bour mone hoy jamai porokiay ache,Barishal ,Wife thinks husband is estranged
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না ,ei bishoyta niye ar kotha bolte chacchi na,এই বিষয়ডা লইয়া আর কথা কইতে চাইতেয়াছি না,ei bishoyda loiya ar kotha koite chaiteyachi na,Barishal ,I don't want to talk about this anymore
আজকাল ছোটরাও পাত্তা দিচ্ছে না,ajkal chotorao patta dicche na,আইজকাল ছোডোরাও পাত্তা দেতেয়াছে না।,aijkal chodorao patta deteyache na,Barishal ,Even the little ones don't care these days
কেউ আর ভয় পাচ্ছে না,keu ar voy pacche na,কেউ আর ভয় পাইতেয়াছে না,keu ar voy paiteyache na,Barishal ,No one is afraid anymore
আমার এসব আর একটুও ভালো লাগছে না,amar eshob ar ektuo valo lagche na,মোর এইয়া আর মোডেও ভালো লাগতেয়াছে না,mor eiya ar modeo valo lagteyache na,Barishal ,I don't like it at all
যারা ভেবেছিলেন বড় হয়ে গরীবদের সেবা করবেন কিন্তু বড় হয়ে দেখেন নিজেই গরীব,jara vebechilen boro hoye goribder sheba korben kintu boro hoye dekhen nijei gorib,যারা ভাবছেলে বড় হইয়া গরিবগো সেবা করবেন তয় বড় হইয়া দেহেন নিজেই গরীব,jara vabchele boro hoiya goribgo sheba korben toy boro hoiya dehen nijei gorib,Barishal ,Those who thought they would grow up to serve the poor but grow up and see themselves as poor
মহিলার বয়স হবে ৮০ এর উপরে,mohilar boyosh hobe ৮০ er upore,বেডির বয়স হইবে ৮০ এর উপ্রে,bedir boyosh hoibe 80 er upre,Barishal ,The woman will be above 80 years of age
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম","ektai prithibi, kintu ekek elakar manusher chinta ekek rokom","এউক্কাই পিরথিবি,তয় একেক এলাকার মানের চিন্তা একেক রহম","eukkai pirthibi,toy ekek elakar maner chinta ekek rohom",Barishal ,"One world, but the people of different areas have different thoughts"
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,notunra onek kichu shikhte parbe asha kori,নতুনরা বেমালা কিছু শেখতে পারবে আশা করি,notunra bemala kichu shekhte parbe asha kori.,Barishal ,Hope newbies can learn a lot
হোকনা ভালো কিছুর শুরুটা এভাবেই,hokna valo kichur shuruta evabei,হউক ভালো কিছুর শুরুডা এরহমই,houk valo kichur shuruda erohomi,Barishal ,This is how good things start
তুমি আমার সাথে আর কথা বলবা না,tumi amar sathe ar kotha bolba na,তুমি মোর লগে আর কথা কবা না,tumi mor loge ar kotha koba na,Barishal ,You don't talk to me anymore
আমরা অনেক বড় হয়ে গেছি মনে হচ্ছে,amra onek boro hoye gechi mone hocche,মোরা বেমালা বড় হইয়া গেছি মনে হইতেয়াছে,mora bemala boro hoiya gechi mone hoiteyache,Barishal ,We seem to have grown up a lot
রাজকুমারির মায়া পৃথিবী যায়নি আজও ভুলে,rajkumarir maya prithibi jayni ajo vule,রাজকুমারীর মায়া পিরথিবি যায়নাই আইজও ভুইল্লা,rajkumarir maya pirthibi jaynai aijo vuilla,Barishal ,The magic of the princess has not been forgotten by the world
জীবন থেকে রঙ হারায় গেছে,jibon theke rong haray geche,জীবন হইতে রং হারাইয়া গ্যাছে,jibon hoite rong haraiya gyache,Barishal ,Color is lost from life
একটা রঙিন ছবি তুলতে হবে আমাদের সবার,ekta rongin chobi tulte hobe amader sobar,এউক্কা রংগিন ছবি তোলতে হইবে মোগো বেবাকের,eukka ronggin chobi tolte hoibe mogo bebaker,Barishal ,We all have to take a colorful picture
আর কত ছুটি কাটাবো?,ar koto chuti katabo?,আর কত ছুটি কাডামু?,ar koto chuti kadamu?,Barishal ,How much more vacation?
পুরোটা দেখার অপেক্ষায় বসে আছি ,purota dekhar opekkhay bose achi ,পুরাডা দ্যাহার অপেক্ষায় বইয়া রইছি,purada dehar opekkhay boiya roichi,Barishal ,I am waiting to see the whole thing
আপনি বেঁচে আছেন?,apni bece achen?,আমনে বাইচ্চা আছেন?,amne baiccha achen?,Barishal ,Are you alive?
আশেপাশে কেউ থাকলে কল দিয়েন,ashepashe keu thakle call diyen,আশেপাশে কেউ থাকলে ফোন দিয়েন,ashepashe keu thakle phone diyen,Barishal ,Call if anyone is around
দেখা করা যাবে,dekha kora jabe,দ্যাহা করা যাইবে,deha kora jaibe,Barishal ,Can meet
কিছু পাইতে হলে কিছু ছাড়তে হবে,kichu paite hole kichu charte hobe,কিছু পাইতে হইলেই কিছু ছাড়তে হইবে,kichu paite hoilei kichu charte hoibe,Barishal ,"To get something, you have to give up something"
বাংলাদেশে আমাকে সবাই আমার ডাক নামে চিনে,bangladeshe amake sobai amar dak name cine,বাংলাদেশে মোরে হগলডি মোর ডাক নামে চেনে,bangladeshe more hogoldi mor dak name chene.,Barishal ,In Bangladesh everyone knows me by my nickname
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,dui ghonta dhore biddut jayni,দুই ঘণ্টা হইছে কারেন্ট যায় নাই,dui ghonta hoiche current jay nai,Barishal ,There was no electricity for two hours
বিদ্যুৎ অফিসের লোকটা কি মারা গেলো নাকি?,biddut officer lokta ki mara gelo naki?,কারেন্ট অপিসের ব্যাডাডা কি মইরা গ্যালে নিহি?,current office er bedada ki moira gyale nihi?,Barishal ,Did the electricity office man die?
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,seibar ami pray ৪ mas pore basay giyechi,হেইবার আমি পেরায় ৪ মাস পরে বাসায় গেল্লাম,heibar ami peray 4 mash pore basay gellam,Barishal ,That time I went home after about 4 months
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম ,babar mukher dike takiye kemon jani ekta shunnota onuvob korlam ,বাপের মোহের দিকে চাইয়া কেমন জানি এউক্কা ফাঁকা ফাঁকা অনুভব করলাম,baper moher dike chaiya kemon jani eukka faka faka onuvob korlam,Barishal ,"Looking at my father's face, I felt an emptiness"
কবে যে আমার স্বপ্নটা পূরণ হবে,kobe je amar sopnota puron hobe,কবে যে মোর স্বপ্নডা পুরোন হইবে,kobe je mor shopnoda puron hoibe,Barishal ,When will my dream come true?
আপনি কি আপনার হাত ধুতে জানেন?,apni ki apnar hat dhute janen?,আমনে কি আমনের হাত ধুইতে পারেন?,amne ki amner hat dhuite paren?,Barishal ,Do you know how to wash your hands?
আপনি কি খামারের পশু পছন্দ করেন?,apni ki khamarer poshu pochondo koren?,আমনে কি খামারের পশু পছন্দ করেন?,amne ki khamarer poshu pochondo koren?,Barishal ,Do you like farm animals?
আমি আমার পরিবারের কথা বলতে চাই,ami amar poribarer kotha bolte chai,মুই মোর পরিবারের লগে কথা কইতে চাই,mui mor poribarer loge kotha koite chai,Barishal ,I want to talk about my family
"আমার পরিবারে আমি  মা, বাবা এবং একটি ছোট্ট বোন","amar poribare ami ma, baba ebong ekti chotto bon","মোর পরিবারে মুই মা, আব্বা আর এউক্কা ছোডো বুইন","mor poribare mui ma, abba ar eukka chodo buin",Barishal ,"In my family I have mother, father and a little sister"
আমাদের সবাই একসময়ে একসাথে আছি ,amader sobai eksomoye eksathe achi,মোগো বেবাকডি একসময় একলগে আছি,mogo bebakdi eksomoy ekloge achi,Barishal ,We are all together once
আমরা খুব খুশি,amra khub khushi,মোরা বেমালা খুশি,mora bemala khushi,Barishal ,We are very happy
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,amader poribare anonder baire kono jhogra nei,মোগো পরিবারে খুশির বাইরে কোনো কাইজ্জা নাই,mogo poribare khushir baire kono kaijja nai,Barishal ,In our family there is no quarrel but happiness
আমার বন্ধুরা আমার জীবনের অনেক গুরুত্বপূর্ণ অংশ,amar bondhura amar jiboner onek guruttopurno ongsho,মোর দোস্তোরা মোর জীবনের বেমালা দরকারি অংশ,mor dostora mor jiboner bemala dorkari ongosho,Barishal ,My friends are very important part of my life
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,ami sobsomoy amar gramer manushder pashe thakte chai,মুই হারা সময় মোর গেরামের মানের পাশে থাকতে চাই,mui hara somoy mor geramer maner pashe thakte chai,Barishal ,I always want to be with my village people
খুব সুন্দর,khub sundor,বেমালা সুন্দর,bemala shundor,Barishal ,Very beautiful
আপনার লেখা অসাধারণ,apnar lekha osadharon,আমনের ল্যাহা অসাধারণ,amner leha osadharon,Barishal ,Your writing is amazing
আপনার ছবি দেখে খুব ভালো লেগছে,apnar chobi dekhe khub valo lagche,আমনের ছবি দেইক্ষা বেমালা ভালো লাগছে,amner chobi deikkha bemala valo lagche,Barishal ,Nice to see your picture
অসাধারণ করে লিখেছেন,osadharon kore likhechen,অসাধারণ কইরা ল্যাখছেন,osadharon koira lekhchen,Barishal ,Wonderfully written
আমি ভালো লাগলো আপনার কথা পড়ে,amar valo laglo apnar kotha pore,মোর ভালো লাগলো আমনের কথা পইড়া,mor valo laglo amner kotha poira,Barishal ,I enjoyed reading your words
আপনার এই পোস্টটি খুব উপকারী,apnar ei post ti khub upokari,আমনের এই পোস্টটা বেমালা দরকারি,amner ei post ta bemala dorkari,Barishal ,Your post is very helpful
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,apnar shundor shundor chobigulo dekhe anondo peyechi,আমনের সুন্দর সুন্দর ছবিগুলা দেইখা সুখ পাইছি,amner shundor shundor chobigula deikha sukh paichi,Barishal ,I enjoyed seeing your beautiful pictures
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,apni khub sundorvabe somossati somadhan korechen,আমনে ম্যালা সুন্দর মতো সমেস্যাডা সমাধান করছেন,amne mela shundor moto somessada somadhan korchen,Barishal ,You solved the problem very nicely
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,apnar blog ti pore onek kichu shikhte perechi,আমনের ব্লগডা পইড়া বেমালা কিছু শেখতে পারছি,amner blogda poira bemala kichu shekhte parchi,Barishal ,I have learned a lot from reading your blog
আমি আপনার কাজকে  ভালোবাসি,ami apnar kajke valobashi,মুই আমনের কামরে ভালোবাসি,mui amner kamre valobashi,Barishal ,I love your work
আপনার লেখার ধরণ খুব সুন্দর,apnar lekhar dhoron khub shundor,আমনের ল্যাহার ধরন ম্যালা সুন্দর,amner lehar dhoron mela shundor,Barishal ,Your writing style is very nice
আপনার ছবিটি দেখে মন ভরে গেলো,apnar chobi ti dekhe mon vore gelo,আমনের ছবিডা দেইখ্যা মোন ভইরা গেলো,amner chobida deikkha mon voira gelo,Barishal ,My heart was filled with your picture
খুব সুন্দর কথা বলেছেন,khub shundor kotha bolechen,ম্যালা সুন্দর কথা কইছেন,mela sundor kotha koichen,Barishal ,He spoke very nicely
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,apnar mojar mojar kotha shunle sara din mon valo thake,আমনের মজার মজার কথা হুনলে হারা দিন মোন ভালো থাহে,amner mojar mojar kotha hunle hara din mon valo thahe,Barishal ,Listening to your funny jokes makes me feel good all day long
একদিন সুন্দর একটি বাগানে একটি মেয়ে হাঁটছিল,ekdin shundor ekti bagane ekti meye hatchilo,এক দিন সুন্দর এউক্কা বাগানে এউক্কা মাইয়া হাঁটতেয়াছেলে,ek din sundor eukka bagane eukka maiya hatteyachele,Barishal ,One day a girl was walking in a beautiful garden
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,se akashe uronto pakhir gan shontei mon khushi hoye uthto,হ্যায় আকাশে উড়তে থাহা পাখির গান হোনতেই মন খুশি হইয়া ওঠতে,hey akashe urte thaha pakhir gan hontei mon khushi hoiya othte,Barishal ,He used to feel happy when he heard the song of birds flying in the sky
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,se fulgulor rongin mela dekhe hridoy vore jay,হেই ফুলগুলার রংগিন মেলা দেইখ্যা মোন ভইরা যায়,hei fulgular ronggin mela deikkha mon voira jay,Barishal ,He is heart filled by seeing the colorful fair of flowers
তার পাশে থাকা পুতুলগুলো সেই মেয়ের সাথে খেলতে আসে,tar pashe thaka putulgulo sei meyer sathe khelte ase,হ্যার লগে থাহা পুতুলগুলা হেই মাইয়ার লগে খেলতে আহে,her loge thaha putulgula hei maiyar loge khelte ahe,Barishal ,The dolls next to her come to play with the girl
সে আরও একটি বন্ধু বানাতে চায় যার নাম ছিল রাহাত,se aro ekti bondhu banate chay jar nam chilo rahat,হ্যায় আরো এউক্কা দোস্তো বানাইতে চায় যার নাম আল্লেহ রাহাত,hey aro eukka dosto banaite chay jar nam alleh rahat,Barishal ,He wants to make another friend whose name is Rahat
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,tomar bondhura sotti valo hridoyer manush,তোমার দোস্তোরা আসলেই ভালো মনের মানু,tomar dostora asolei valo moner manu,Barishal ,Your friends are really good hearted people
তোমার বন্ধুরা  সবাই খুব মেধাবী,tomar bondhura shobai khub medhabi,তোমার দোস্তোরা বেবাকডি বেমালা মেধাবী,tomar dostora bebakdi bemala medhabi,Barishal ,All your friends are very talented
তোমার বন্ধুদের কাছে থাকতে খুব ভালো লাগে,tomar bondhuder kache thakte khub valo lage,তোমার দোস্তোগো লগে থাকতে বেমালা ভালো লাগে,tomar dostogo loge thakte bemala valo lage,Barishal ,I love being around your friends
বিয়ের পর মোটা হবে এমন স্বপ্ন নিয়ে বেঁচে আছে হাজারো পাতলা মেয়ে,biyer por mota hobe emon sopno niye beche ache hajaro patla meye,বিয়ার পর মোডা হইবে এমন স্বপ্ন লইয়া বাইচ্চা রইছে হাজারো হুগনা মাইয়া,biyar por moda hoibe emon shopno loigga baiccha roiche hajaro hugna maiya,Barishal ,Thousands of thin girls live with the dream of becoming fat after marriage
"মেয়েরা যে হারে ভদ্র ছেলে খুঁজছে, ভয় লাগছে কোনো দিন আমি কিডন্যাপ হয়ে না যাই","meyera je hare vodro chele khujche, voy lagche kono din ami kidnap hoye na jai","মাইয়ারা যে হারে ভদ্র পোলা খুঁজতেয়াছে, ভয় লাগতেয়াছে কোন দিন মুইও কিডন্যাপ হইয়া না যাই","maiyara je hare vodro pola khujteyache, voy lagteyache kon din muio kidnap hoiya na jai",Barishal ,"The rate at which girls are looking for decent boys, I am afraid that I will be kidnapped one day"
"খন তোমার একা লাগবে, তুমি চারদিকে কিছুই দেখতে পাবে না","ekhon tomar eka lagbe, tumi chardike kichui dekhte pabe na","যহন তোমার একলা লাগবে, তুমি হারাদিকে কিছুই দ্যাখতে পাবা না","johon tomar ekla lagbe, tumi haradike kichui dekhte paba na",Barishal ,"When you are alone, you will not see anything around you"
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,aj single bole karo jonno hat katte pari na,আইজ সিঙ্গেল দেইখ্যা কারো লইজ্ঞা হাত কাটতে পারি না,aij single deikkha karo loigga hat katte pari na,Barishal ,Today I can't cut my hand for someone who is single
